,Growth rate
Control_1_B,0.20541750487665023
Control_2_B,0.1190735776444924
Control_3_B,0.16845557108471632
AA_1_B,0.2164865931921362
AA_2_B,0.13514630378342207
AA_3_B,0.14713767000283423
AAAb_1_B,0.1540714721307665
AAAb_2_B,0.1175843554252361
