,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,9.528936441790448,11.197816554227645,13.659423340151193,10.909297653735187,12.091894863589108,11.755413338851763,13.946367818501667,14.438190637717984
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006109488749938448,0.00043837100630625755
EX_cpd00075_m,-0.000772168902505964,-0.0006115615639270626,-0.0008465655730279209,-0.0009128824676302513,-0.0009995510043315978,-0.000999979145462371,-0.0009056369899270588,-0.0009339122339144282
EX_cpd00009_m,-0.3016468868519817,-0.5057703408285755,-1.3369705904591511,-1.0620281536031861,-0.8494424541884507,-1.223911624478219,-1.6322125448113076,-1.206289216992846
EX_cpd00023_m,-0.0003971328409655826,-0.0004626574694477235,-0.0004941468295011374,-0.00035870131393690746,-0.0003980234051403406,-0.000518034180246574,-0.0007140020665718956,-0.0006659831311211592
EX_cpd00027_m,-0.00097088587653579,-0.000978506780436357,-0.0009820098612256347,-0.000979202607825825,-0.000975080992397944,-0.0009798639972110642,-0.0009810287856224797,-0.0009646785255424793
EX_cpd00030_m,-1.3906107020293808e-09,-6.6909160446837845e-09,-4.0458034389613406e-09,2.249932737007197e-13,-8.650042257783455e-07,-1.1986633293413556e-09,3.090253368403318e-11,1.6121634366269182e-11
EX_cpd00034_m,9.014344083986652e-08,-1.0180792399699535e-08,-4.5232475956144655e-08,-1.2795366796439102e-16,-3.167149362997757e-06,-1.4372957884781891e-09,2.2359167749832786e-10,1.163942612759753e-09
EX_cpd00039_m,-0.0002671470796952727,-0.00024601256271109423,-0.0002625324743140412,-0.0002111254628985533,-0.000254346031362239,-0.0002622646633573424,-0.00029751719729931704,-0.0002897329292968078
EX_cpd00041_m,-0.000300107384975108,-0.00029992242589504443,-0.000353249185226749,-0.0005419368571558491,-0.0006237633460657039,-0.0006671260434077698,-0.0007646883396923594,-0.0007132716313627915
EX_cpd00048_m,-0.030812516721507675,-0.02464908258342445,-0.027855045442194575,-0.025022441102915776,-0.08903242388590192,-0.02632304251371416,-0.03769709023360009,-0.03144464047996835
EX_cpd00051_m,-0.00026982363154773586,-0.0002223627719426635,-0.000290639401591317,-0.00020810421115589472,-0.00025774244009605485,-0.0002851380955467076,-0.0003608045941321965,-0.00029464151217718483
EX_cpd00053_m,-4.6689686192234456e-05,-4.295909381539848e-05,-5.375921745722722e-05,-3.586775112374082e-05,-4.312693434927842e-05,-5.1053890947579385e-05,1.7729141333877536e-06,8.262408817640282e-07
EX_cpd00064_m,-5.559514879454711e-05,-5.133617341191888e-05,-5.839320154451403e-05,-4.243064594197977e-05,-4.9300336746007305e-05,-4.8160626838340335e-05,-5.312915241797409e-05,-5.13931964974905e-05
EX_cpd00098_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_cpd00105_m,-0.0006025090185908157,-0.0005500988059038109,-0.0006417839349496567,-0.0005962125275519208,-0.0007663188444989158,-0.000814591427057026,-0.000766273295636514,-0.0006469890035894167
EX_cpd00107_m,-0.0006440930224905978,-0.0005700084213869624,-0.0006750932778664175,-0.0008072336574882149,-0.001017112806904498,-0.001044769000807365,-0.0012368371188958614,-0.0010816598492074869
EX_cpd00108_m,-0.0005626035258986878,-0.0005750676093840351,-0.0006347342827521375,-0.0005154631827400612,-0.00075624254670113,-0.0008285456253010776,-0.0007532370762542966,-0.0006352948363676798
EX_cpd00118_m,0.004310621381465039,0.010514925173856018,0.001354263127122969,0.0024961114062187757,-0.000999731239398719,-0.0009997687315236106,0.0007753243153492888,0.0008109339467351909
EX_cpd00119_m,-5.294885464373819e-05,-3.406987623944262e-05,-5.1087540593058505e-05,-3.332335110395241e-05,-4.0280534815519975e-05,-4.207775522143814e-05,-6.907302318799983e-05,-5.4327939268001765e-05
EX_cpd00129_m,-0.00020534847291910457,-0.0001827780526588527,-0.00023308124312679246,-0.00015988103045589267,-0.00018276512277724593,-0.00021788495095745783,-0.0002777836961107483,-0.00025255365209525673
EX_cpd00149_m,1.292018609223474e-08,2.2110251463425164e-09,-0.0004022616873805352,-0.00037352899672682985,-0.0003510727848628532,-4.264135919601683e-06,-0.0005439628319110116,-0.0004386959023028916
EX_cpd00154_m,-0.0008655509375176439,-0.0008088291181509468,-0.0008171269192839849,-0.0007946898176927578,-0.0008791709088889421,-0.0008529992712073442,-0.0008800925584243336,-0.0008648678593213268
EX_cpd00156_m,-0.0004411711089969579,-0.0004944638171342947,-0.0005797737344086547,-0.0009045374921836325,-0.0011297250044179962,-0.0011395140858042596,-0.0012797639900844085,-0.00118644753231914
EX_cpd00161_m,-0.00029734902329717184,-0.0002840403485124978,-0.0003487875592201349,-0.00024676367194657374,-0.00032229493104042015,-0.00033185643080830684,-0.0004223463217694321,-0.0003752301531812827
