,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,0.003379706809800289
Control_1_B,maxbin2_spades_001,0.1502333093047586
Control_1_B,maxbin2_spades_006,0.0018938920665523887
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.0009089956618913697
Control_1_B,metabat1_spades_2,0.004741968774137222
Control_1_B,metabat2_megahit_14,0.0010299076509817284
Control_1_B,metabat2_megahit_24,0.0026604898782108316
Control_1_B,metabat2_megahit_33,0.0016296177388039586
Control_1_B,metabat2_spades_15,0.00460193355815215
Control_1_B,metabat2_spades_18,0.0017588585289018373
Control_1_B,metabat2_spades_25,0.0026485402211054417
Control_1_B,vamb_megahit_295,0.002199759572322281
Control_1_B,vamb_megahit_39,0.002771335503134391
Control_1_B,vamb_megahit_488,0.0012166837596529125
Control_1_B,vamb_megahit_77,0.007652908181765957
Control_1_B,vamb_spades_1,0.0026141155777057263
Control_1_B,vamb_spades_1056,0.00381022655713578
Control_1_B,vamb_spades_108,0.0032078780684990657
Control_1_B,vamb_spades_21,0.004622477916737789
Control_1_B,vamb_spades_222,0.0007883852189833442
Control_1_B,vamb_spades_267,0.0028267910401456493
Control_1_B,vamb_spades_286,0.003042058555704525
Control_1_B,vamb_spades_298,0.003519154199221872
Control_1_B,vamb_spades_6,0.002399301769221001
Control_1_B,vamb_spades_812,0.0034192169263818945
Control_1_B,vamb_spades_857,0.0036938489572826204
Control_2_B,concoct_megahit_6,0.004030574527625974
Control_2_B,maxbin2_megahit_017,0.003766405901513445
Control_2_B,maxbin2_spades_001,0.12166602580617031
Control_2_B,maxbin2_spades_006,0.0024139640449930668
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.001428506409839997
Control_2_B,metabat1_spades_2,0.006192273194869578
Control_2_B,metabat2_megahit_24,0.0006002823592275242
Control_2_B,metabat2_megahit_33,0.0016259354946110975
Control_2_B,metabat2_spades_15,0.003561199565513365
Control_2_B,metabat2_spades_18,0.003149404058236777
Control_2_B,metabat2_spades_25,0.0013165576586692612
Control_2_B,vamb_megahit_295,0.002403734871666623
Control_2_B,vamb_megahit_488,0.0012462888389942442
Control_2_B,vamb_megahit_77,0.009695653873278922
Control_2_B,vamb_spades_1,0.0027064289592432242
Control_2_B,vamb_spades_1056,0.0054585076596392335
Control_2_B,vamb_spades_108,0.003899808751342636
Control_2_B,vamb_spades_21,0.00543245578859186
Control_2_B,vamb_spades_222,0.000877368149410185
Control_2_B,vamb_spades_267,0.003670862714008081
Control_2_B,vamb_spades_286,0.0028910065306855673
Control_2_B,vamb_spades_298,0.0033983571173148135
Control_2_B,vamb_spades_812,0.004049574331747508
Control_2_B,vamb_spades_857,0.0040599227915374065
Control_3_B,concoct_megahit_6,0.004639828267976078
Control_3_B,maxbin2_megahit_017,0.004556107037850157
Control_3_B,maxbin2_spades_001,0.11877568089442846
Control_3_B,maxbin2_spades_006,0.0017296072512611872
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.0010066328094567466
Control_3_B,metabat1_spades_2,0.006366133481288426
Control_3_B,metabat2_megahit_24,0.00038258623557468175
Control_3_B,metabat2_megahit_33,0.0011657580384408983
Control_3_B,metabat2_spades_15,0.004231738634473368
Control_3_B,metabat2_spades_18,0.002136131069122216
Control_3_B,metabat2_spades_25,0.0023397260136969887
