,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,11.703578506469492,12.71734563669581,13.207277076023685,10.985985404556427,11.902012412779515,11.572363848365299,13.233911868894051,13.640386693524672
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0007780175477069487,0.0007819753911750552
EX_cpd00075_m,-0.0009210548211939288,-0.0008720850496432915,-0.0008963990676583435,-0.000913203624861897,-0.000656107972693224,-0.0009253808153919616,-0.0008663517627356034,-0.0008662221497181842
EX_cpd00009_m,-1.4023327053461099,-1.2654908605864912,-1.3340758839507874,-1.0662785087025268,-0.8333833151243427,-1.2202415357952994,-1.4010808523534795,-0.7581562033196241
EX_cpd00023_m,-0.00039978396836535266,-0.00046153435887310733,-0.0004935358829268329,-0.0003643458563555381,-0.0003762452670845304,-0.00048567475656116285,-0.00071208526650194,-0.0006692212457146659
EX_cpd00027_m,-0.000982907066287969,-0.0009800704775268366,-0.0009800799106690489,-0.000952662991075059,-0.0009759145900607548,-0.0009746515810724051,-0.000979604072015616,-0.0009790685765752346
EX_cpd00030_m,-2.921465146279865e-07,9.899307885503308e-09,-3.830656559300417e-08,-3.2970199398840185e-12,1.947616725650768e-11,-1.4898800509480837e-09,-1.108538125067103e-13,-7.352050615706188e-07
EX_cpd00034_m,-3.1355503892873e-06,-5.075404138960853e-06,-3.8769541146765344e-08,-3.271665115575422e-10,-4.0137492428813916e-11,-1.6011124662170606e-09,3.133753033929288e-12,-1.4504468391616688e-07
EX_cpd00039_m,-0.00026766592841649006,-0.0002476603990531925,-0.0002597541115961143,-0.00021319459188479526,-0.0002393512301055735,-0.00024360311673562969,-0.000296069245417084,-0.00028891970091247916
EX_cpd00041_m,-0.0003015494297245288,-0.00029879932034565786,-0.0003537683682885619,-0.0005402466246622438,-0.0005902374756414192,-0.0006316936394692927,-0.000762018095368926,-0.0007112532241782117
EX_cpd00048_m,-0.03270242025555572,-0.02547689686579656,-0.02848298173589544,-0.025324330220614744,-0.06880054585913085,-0.026557805790046938,-0.03762690740809081,-0.0333316112942588
EX_cpd00051_m,-0.0002725136625748379,-0.000221984321972767,-0.00029139611447962535,-0.00020737904338015415,-0.0002450935288955175,-0.0002732194982826688,-0.0003592616944280187,-0.00029419057192670494
