,compartments,0
Control_1_B,maxbin2_megahit_017,2.823489471544338e-06
Control_1_B,maxbin2_spades_001,2.3567570911172294e-05
Control_1_B,maxbin2_spades_006,8.347420439658772e-08
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,4.959377906325337e-07
Control_1_B,metabat1_spades_2,0.00037267681057567083
Control_1_B,metabat2_megahit_14,5.669912657117964e-06
Control_1_B,metabat2_megahit_24,3.754808517813757e-13
Control_1_B,metabat2_megahit_33,9.452662373101048e-08
Control_1_B,metabat2_spades_15,4.936638490290513e-13
Control_1_B,metabat2_spades_18,4.7393412776939e-07
Control_1_B,metabat2_spades_25,1.280242173460029e-08
Control_1_B,vamb_megahit_295,2.1420085634921065e-06
Control_1_B,vamb_megahit_39,1.0875339652416454e-05
Control_1_B,vamb_megahit_488,0.00026850383704597557
Control_1_B,vamb_megahit_77,0.0005184348616761802
Control_1_B,vamb_spades_1,5.731818163766451e-07
Control_1_B,vamb_spades_1056,5.417662924545024e-06
Control_1_B,vamb_spades_108,6.155048413215407e-07
Control_1_B,vamb_spades_21,2.5050627005129277e-05
Control_1_B,vamb_spades_222,3.6886100962707705e-06
Control_1_B,vamb_spades_267,2.1036736185885444e-06
Control_1_B,vamb_spades_286,3.9373096524956674e-07
Control_1_B,vamb_spades_298,2.498200865295454e-06
Control_1_B,vamb_spades_6,0.001284316158165387
Control_1_B,vamb_spades_812,6.57174151747373e-06
Control_1_B,vamb_spades_857,1.794520133286498e-06
Control_2_B,concoct_megahit_6,1.785267061165977e-11
Control_2_B,maxbin2_megahit_017,1.030374024605752e-11
Control_2_B,maxbin2_spades_001,0.0740179856294558
Control_2_B,maxbin2_spades_006,3.2480717851450848e-12
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0
Control_2_B,metabat1_spades_2,0.0015883614741800693
Control_2_B,metabat2_megahit_24,0.0
Control_2_B,metabat2_megahit_33,0.0
Control_2_B,metabat2_spades_15,2.7322052905143327e-11
Control_2_B,metabat2_spades_18,0.0
Control_2_B,metabat2_spades_25,0.0
