,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,10.6171954783244,11.113167565273255,11.832541030979812,9.591009777020703,10.000069063623208,11.316934640410668,11.332517998690182,13.179133949362582
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00077305333320817,0.0004708016553651484
EX_cpd00075_m,-0.0008236011548550652,-0.0007673684605680187,-0.0007587589797836726,-0.0008638300842590552,-0.0007079345301902913,-0.0007822533528921736,-0.0008730930601201808,-0.0009350580893218274
EX_cpd00009_m,-0.03437599681071373,-0.36413134979901973,-0.043262224706147864,-0.043390980400764,-0.11706645499626352,-0.04150194212509628,-0.24438486148878724,-0.7814644753287677
EX_cpd00023_m,-0.00039612713211428866,-0.00045979712499264114,-0.0004921780612848393,-0.00036670878641585316,-0.00037601056365961033,-0.0004898127256667172,-0.0007117343169686613,-0.0006667290356817267
EX_cpd00027_m,-0.000983833174425173,-0.000979210243234413,-0.0009746102801048005,-0.000938371472814886,-1.4991998322122629e-06,-0.0009762445706803857,-0.000979542064320779,-0.0009830364840906882
EX_cpd00030_m,-1.409858773507255e-11,1.2645133991117405e-11,1.1401415768807696e-13,7.91487853629616e-14,9.186939843520352e-13,2.872067423189187e-12,-7.869687904922432e-07,-1.4648268243760333e-12
EX_cpd00034_m,6.303590860108314e-14,3.574713870973884e-15,5.233356874896529e-16,1.0508159530417597e-14,5.891888890566408e-12,-9.628682257052101e-17,-8.280719926499211e-10,-6.158328870877659e-15
EX_cpd00039_m,-0.0002682516647787091,-0.000248613489621306,-0.0002617622002873743,-0.00021611699960230322,-0.0002400109550159144,-0.00024647927434495156,-0.0002960692180198457,-0.0002929730321175692
EX_cpd00041_m,-0.00029925977092410186,-0.0002980801758862519,-0.0003523159845438193,-0.000544414441370172,-0.0005903570040851832,-0.0006312192530351859,-0.0007618255863069161,-0.0007067796347738454
EX_cpd00048_m,-0.11019396591291791,-0.05218974091308257,-0.14405416885783456,-0.08384720877300382,-0.07736448290666721,-0.17383107796695368,-0.10305897517789905,-0.023740516836420016
EX_cpd00051_m,-0.0002705437753737932,-0.00022080978134085498,-0.0002905753466247733,-0.00020837125497580745,-0.00024393417676391805,-0.00027003474876150153,-0.0003590940742671657,-0.00029155083152737214
EX_cpd00053_m,-4.6636242385724886e-05,-4.2765141008999536e-05,-5.381557057641599e-05,-3.6900147199106076e-05,-4.249421349733283e-05,-4.8252794554711445e-05,1.7091893445398895e-06,1.2239944459745185e-06
EX_cpd00064_m,-5.553880761920248e-05,-5.118525626868694e-05,-5.8313241827716186e-05,-4.348161954830022e-05,-4.679464131431773e-05,-4.552685913370534e-05,-5.101415630424842e-05,-5.046693888558315e-05
EX_cpd00098_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_cpd00105_m,-0.0007953101199633054,-0.0008276589628541805,-0.0008391132512229884,-0.00041979008831640515,0.0004947440164412976,-0.0008210193817022246,-0.0002660006266582615,-0.0006107801236406088
EX_cpd00107_m,-0.0006462562210471049,-0.0005732079488694887,-0.000673343530036077,-0.0008363284529802663,-0.0009584134278114882,-0.0009826047309036939,-0.0012320776464923363,-0.0010904725321454402
EX_cpd00108_m,-0.0007836417973853213,-0.0008493146926616443,-0.0008388927389805776,-0.0003753858542883547,0.0005881247401280191,-0.0008158556280851645,-0.0001302429294685525,-0.0006073004539153895
EX_cpd00118_m,0.006023750841945719,-0.0002762505148894579,0.000518830235109926,0.006009002649176012,0.0015315593877168058,0.0003648968489809584,0.0068593758399836495,0.0003338311677866367
EX_cpd00119_m,-5.22438156775608e-05,-3.6300105298937445e-05,-5.147021268296642e-05,-3.511013247490463e-05,-3.796290308262895e-05,-3.959064323989246e-05,-6.897388384130864e-05,-5.46528791880023e-05
EX_cpd00129_m,-0.00020921384542807206,-0.0001849503110818974,-0.00023333611026427417,-0.00016275629369092917,-0.00017222900685043396,-0.00020467774729947637,-0.00027678002339757594,-0.00025555426832779283
EX_cpd00149_m,-3.3050211476115906e-09,2.5919876665683405e-08,-0.00015422298932112288,1.639416585396828e-09,7.338274546461356e-10,-3.341810967216603e-07,4.415568784204636e-09,-3.224463772850867e-07
EX_cpd00154_m,-0.0008822288195372741,-0.0008773842387537643,-0.0008979185846927861,-0.0007690427050411539,2.0753334338277855e-13,-0.0008742194069168031,-0.000836626524003104,-0.0008641516644113819
EX_cpd00156_m,-0.00044785623246476386,-0.0004950708819730972,-0.0005783025658841184,-0.0009238033479408843,-0.0010643341276342416,-0.0010712993996173253,-0.0012763053973144723,-0.0011991375903623346
EX_cpd00161_m,-0.00029759465234319784,-0.0002845568272973697,-0.00034665118518074136,-0.0002505462040179802,-0.00030436712404465155,-0.0003119044919671276,-0.0004209214383528862,-0.00037550747805443113
EX_cpd00179_m,-0.000979794870732862,-0.0009715364177485035,-0.000919884261463153,-0.0006947394475961563,7.117277755233474e-13,-0.0009283399615178314,-0.000619898522066605,-0.0008120646389151659
EX_cpd00209_m,-0.0009457233758763894,-0.0009367077906487842,-0.0009289374614033275,-0.0009223965557935051,-0.0008631567317490367,-0.0009331266872337637,-0.0009527662898615039,-0.0009021811851821301
EX_cpd00210_m,-0.0008666065393151923,-0.0008819188586086102,-0.0008855167995346285,-0.0008332288080334908,-0.0008695779118244787,-0.0008824846627602713,-0.0008784506050749276,-0.0009424295510803035
EX_cpd00224_m,-0.0008622438697930542,-0.0008881597830072292,-0.0009025011559331773,-0.0007743143023044243,-1.1186276838276734e-12,-0.0008760011408182364,-0.0008032410654235056,-0.000813645756932327
EX_cpd00244_m,-2.5657928647505225e-06,-7.280342486164772e-05,-6.566283164455474e-05,-2.731645309537396e-06,-2.0316960243339516e-06,-6.227960176759911e-05,-6.51738780973415e-06,-0.00010742262019774923
EX_cpd00264_m,0.0073467633256368335,0.003308993709930369,0.0028148211487803157,0.009616431567346765,0.00621205800633915,0.0032787833834664517,0.011211054047522961,0.0037197658499938586
EX_cpd00268_m,-0.000705718530032269,-6.407662581944832e-06,5.222697193467127e-13,2.284948904120009e-13,-1.1095928912052986e-12,-0.0005479237841317112,-0.0008041617082907348,-3.919523683045787e-12
EX_cpd00305_m,0.008312255499098073,0.007028681143111599,0.005821595795549912,0.02033043555171143,0.013876965706855504,0.0057225660888925835,0.018418034288335904,0.005608554482162701
EX_cpd00322_m,-0.0004048715928827403,-0.00037271372837399853,-0.0004354338603939892,-0.0002975692762088873,-0.000362976662222056,-0.00036730427542820487,-0.0004804386739739094,-0.00042621104023089676
EX_cpd00266_m,5.441162457807447e-15,2.3396483353581665e-15,-2.839076443885529e-15,3.9999581497180445e-15,1.2774831248118792e-14,1.2046721512318664e-13,-1.3732756350590911e-15,8.785937165541998e-18
EX_cpd00540_m,-5.314172596711361e-06,-4.301232153777832e-06,-3.894066285829616e-06,-4.92536921345988e-06,-1.0294435162112072e-05,-4.486628581026748e-06,-8.711429457843834e-06,-1.1559115025106126e-12
EX_cpd08305_m,-6.667471174474549e-15,-1.0408732111761925e-14,-2.8354148717456955e-15,3.3948570798994335e-15,1.2690289590677427e-14,1.2044334012812148e-13,2.629653621111761e-16,-1.1563103653788238e-15
EX_cpd10516_m,-3.6765932880984027e-06,-2.9259739240878342e-06,-3.049123026674687e-06,-3.8454298692256685e-06,-4.120502622358597e-06,-3.1170092770626564e-06,-6.725741217149532e-06,-1.7211161249541445e-06
EX_cpd00067_m,0.0,0.0,0.0,0.0,0.0,-0.07209253885807639,0.0,0.0
EX_cpd00092_m,0.00047274229613676654,-0.00010342584392183593,0.0016128435935139507,0.009889367659234632,0.0016599809474503562,-0.00035798403646741155,0.002032338776772949,-0.0004962662007141063
EX_cpd00367_m,-0.0008530984863948377,-0.0009012009587292813,-0.0007895357421608407,-0.00047325239804928143,-0.00035345715319003157,-0.0008171490886747096,-0.0004393519598738932,-0.0008821380360394954
EX_cpd00249_m,-0.0008018408039224267,-0.000886103091504109,-0.0005840784667168752,-0.0001939553755146567,0.00011962448832138206,-0.0008068236341832458,-0.0001600254607468446,-0.0008075500771938743
EX_cpd00309_m,0.005249098814583896,-0.00040379303016317356,0.0003898427387516827,0.0020157578899869244,0.006415257961692046,-0.00019686840002132444,0.0034932502753495936,-0.00025987107574919344
EX_cpd00311_m,-0.0008206976932680771,-0.0009041315366442974,-0.0008342457200744714,-0.0004434157477931841,-0.00043681280510435446,-0.000833302202334461,-0.00017066031472493665,-0.0009503209038207588
EX_cpd00130_m,-0.0004790464061837918,-0.0008158858972600047,-0.00043360281642779164,0.001223243021336362,0.00040626405027532897,-0.000763730486261549,7.411126848877458e-05,-0.0008591415916219258
EX_cpd00971_m,-3.1569325418158316e-12,-6.231989731112391e-13,-6.252034160850999e-14,3.394197116049705e-12,3.209927041920457e-13,3.773918437461606e-12,3.270172258922784e-12,6.391865783990515e-12
EX_cpd00060_m,-0.00010548593102156236,-8.834049791055465e-05,-0.0001108538274244113,-8.834658554047717e-05,-9.819820877558938e-05,-0.0001023713313271391,-0.00012606471994290594,-0.00010712530138583132
EX_cpd00104_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2205679896502794e-15,-1.599018143666751e-15
EX_cpd00220_m,0.0015337460887693893,0.001176268231026567,0.0008704652869833634,0.003367762078361062,0.0022184883873354257,0.000983876737672943,0.0035439675210564973,0.0009776228243481662
EX_cpd00084_m,0.0,0.0,0.0,-2.649685406400828e-05,-1.6504619642034026e-05,-2.8087283649843672e-05,-3.9587158096653904e-05,-2.9603249283004637e-05
EX_cpd00069_m,-6.82084358605757e-05,-6.368208555533048e-05,-6.899495901464955e-05,-5.448738047881808e-05,-6.92088644177345e-05,-6.954555223963424e-05,-0.00010415268043787986,-8.756469830922006e-05
