,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,0.02713466193429118
Control_1_B,maxbin2_spades_001,0.0015988686021087752
Control_1_B,maxbin2_spades_006,0.26456475748830605
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.1157336842569492
Control_1_B,metabat1_spades_2,0.011620774155357623
Control_1_B,metabat2_megahit_14,0.023346949623019326
Control_1_B,metabat2_megahit_24,0.7343542657901867
Control_1_B,metabat2_megahit_33,0.34010516230356896
Control_1_B,metabat2_spades_15,1.2433005601070377
Control_1_B,metabat2_spades_18,0.12837666840960568
Control_1_B,metabat2_spades_25,0.7421666679636337
Control_1_B,vamb_megahit_295,0.03076208302469797
Control_1_B,vamb_megahit_39,0.015702269331665287
Control_1_B,vamb_megahit_488,0.01275685694379101
Control_1_B,vamb_megahit_77,0.012310011038064204
Control_1_B,vamb_spades_1,0.11880286311270706
Control_1_B,vamb_spades_1056,0.016585412405181403
Control_1_B,vamb_spades_108,0.08128967708526752
Control_1_B,vamb_spades_21,0.015483593334273068
Control_1_B,vamb_spades_222,0.030288784293259846
Control_1_B,vamb_spades_267,0.03311819812560217
Control_1_B,vamb_spades_286,0.13821572070438992
Control_1_B,vamb_spades_298,0.02891352049311182
Control_1_B,vamb_spades_6,0.009721455707809804
Control_1_B,vamb_spades_812,0.02156370673327634
Control_1_B,vamb_spades_857,0.03210920001942872
Control_2_B,concoct_megahit_6,0.01457903870215687
Control_2_B,maxbin2_megahit_017,0.02870607953851324
Control_2_B,maxbin2_spades_001,0.01662369957040951
Control_2_B,maxbin2_spades_006,0.14570160112573005
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.3087453519812147
Control_2_B,metabat1_spades_2,0.010910890459124047
Control_2_B,metabat2_megahit_24,0.1503614381382972
Control_2_B,metabat2_megahit_33,0.4494546052835813
Control_2_B,metabat2_spades_15,1.3841176309880183
Control_2_B,metabat2_spades_18,0.5328844433616325
Control_2_B,metabat2_spades_25,0.30678213019127565
Control_2_B,vamb_megahit_295,0.029116073819524076
Control_2_B,vamb_megahit_488,0.019144310664646676
Control_2_B,vamb_megahit_77,0.013816524099123357
Control_2_B,vamb_spades_1,0.16445106673093
Control_2_B,vamb_spades_1056,0.018564195055635793
Control_2_B,vamb_spades_108,0.06005659240430102
Control_2_B,vamb_spades_21,0.02718178984172583
Control_2_B,vamb_spades_222,0.01956173919315602
Control_2_B,vamb_spades_267,0.06096251697296468
Control_2_B,vamb_spades_286,0.22912766900326084
Control_2_B,vamb_spades_298,0.028269812759814678
Control_2_B,vamb_spades_812,0.023390206579788506
Control_2_B,vamb_spades_857,0.047697476370758767
Control_3_B,concoct_megahit_6,0.07280055977840122
Control_3_B,maxbin2_megahit_017,0.01843241841135455
Control_3_B,maxbin2_spades_001,0.009436593635102509
Control_3_B,maxbin2_spades_006,0.09368643759901302
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.2784174404483555
Control_3_B,metabat1_spades_2,0.012707695439021428
Control_3_B,metabat2_megahit_24,0.12199549175469966
Control_3_B,metabat2_megahit_33,0.27636761060217946
Control_3_B,metabat2_spades_15,1.5689407076156825
Control_3_B,metabat2_spades_18,0.332554588113707
Control_3_B,metabat2_spades_25,0.944833571860902
Control_3_B,vamb_megahit_295,0.04414228471501377
Control_3_B,vamb_megahit_488,0.01418302118459894
Control_3_B,vamb_megahit_77,0.013721957405678466
Control_3_B,vamb_spades_1,0.15376342649520322
Control_3_B,vamb_spades_1056,0.018627045021205726
Control_3_B,vamb_spades_108,0.03422395637199898
Control_3_B,vamb_spades_21,0.01509220507991916
Control_3_B,vamb_spades_222,0.029071094566704102
Control_3_B,vamb_spades_267,0.04075952659479261
Control_3_B,vamb_spades_286,0.23916809357467694
Control_3_B,vamb_spades_298,0.05437447566024473
Control_3_B,vamb_spades_812,0.02247485916866513
Control_3_B,vamb_spades_857,0.04937734524615204
AA_1_B,concoct_megahit_6,0.010571692606309545
AA_1_B,maxbin2_megahit_017,0.058573525019452594
AA_1_B,maxbin2_spades_001,0.016062906582197254
AA_1_B,maxbin2_spades_006,0.04500190816982306
AA_1_B,medium,
AA_1_B,metabat1_megahit_20,0.16844183043990066
AA_1_B,metabat1_spades_2,0.00959558823120519
AA_1_B,metabat2_megahit_14,0.01927614002103592
AA_1_B,metabat2_megahit_24,0.3329801252820131
AA_1_B,metabat2_megahit_33,0.20573319329337125
AA_1_B,metabat2_spades_15,1.3225286967200973
AA_1_B,metabat2_spades_18,0.22130867513243555
AA_1_B,metabat2_spades_25,0.4725419518608285
AA_1_B,vamb_megahit_295,0.02154639993289061
AA_1_B,vamb_megahit_488,0.03125506797215694
AA_1_B,vamb_megahit_77,0.01135014164492973
AA_1_B,vamb_spades_1,0.024494333802173352
AA_1_B,vamb_spades_1056,0.013070346194385745
AA_1_B,vamb_spades_108,0.1385543838381222
AA_1_B,vamb_spades_21,0.03887170069670961
AA_1_B,vamb_spades_222,0.02588063308172315
AA_1_B,vamb_spades_267,0.05602188081122195
AA_1_B,vamb_spades_286,0.06795477517402178
AA_1_B,vamb_spades_6,0.012419923224135635
AA_1_B,vamb_spades_812,0.014573472330821426
AA_1_B,vamb_spades_857,0.06298264251007082
AA_2_B,maxbin2_megahit_017,0.022333872646951934
AA_2_B,maxbin2_spades_001,0.005435693615215634
AA_2_B,maxbin2_spades_006,0.0208478521458853
AA_2_B,medium,
AA_2_B,metabat1_megahit_20,0.14505562792198795
AA_2_B,metabat2_megahit_24,0.03591793036957722
AA_2_B,metabat2_megahit_33,0.13912041262730743
AA_2_B,metabat2_spades_15,0.8522400540847241
AA_2_B,metabat2_spades_18,0.2227325492356283
AA_2_B,metabat2_spades_25,0.8181758964765246
AA_2_B,vamb_megahit_295,0.015001268884597721
AA_2_B,vamb_megahit_39,0.029467181250383397
AA_2_B,vamb_megahit_488,0.012195244286969224
AA_2_B,vamb_spades_1,0.015455453320650863
AA_2_B,vamb_spades_1056,0.008668743028448498
AA_2_B,vamb_spades_108,0.12017403737747945
AA_2_B,vamb_spades_21,0.01107073282665428
AA_2_B,vamb_spades_222,0.012626821383362283
AA_2_B,vamb_spades_267,0.11734611860144262
AA_2_B,vamb_spades_286,0.07481119161948313
AA_2_B,vamb_spades_812,0.010913000634583515
AA_2_B,vamb_spades_857,0.027287238962599658
AA_3_B,maxbin2_megahit_017,0.02092826231809538
AA_3_B,maxbin2_spades_001,1.026871183359796e-05
AA_3_B,maxbin2_spades_006,0.019000065663256835
AA_3_B,medium,
AA_3_B,metabat1_megahit_20,0.11291510284446375
AA_3_B,metabat1_spades_2,0.009527722968299498
AA_3_B,metabat2_megahit_24,0.2230164850080008
AA_3_B,metabat2_megahit_33,0.08669669009154929
AA_3_B,metabat2_spades_15,1.018564114449272
AA_3_B,metabat2_spades_18,0.15629837159926602
AA_3_B,metabat2_spades_25,0.3946997734450207
AA_3_B,vamb_megahit_295,0.012047259793155705
AA_3_B,vamb_megahit_488,0.016985874532862395
AA_3_B,vamb_spades_1,0.013165118816940985
AA_3_B,vamb_spades_1056,0.009150984812899355
AA_3_B,vamb_spades_108,0.06394474275925763
AA_3_B,vamb_spades_21,0.02414693508452753
AA_3_B,vamb_spades_222,0.022050717086494306
AA_3_B,vamb_spades_267,0.02205254287184015
AA_3_B,vamb_spades_286,0.037857212079520086
AA_3_B,vamb_spades_812,0.010723168444905293
AA_3_B,vamb_spades_857,0.06964587369376084
AAAb_1_B,concoct_megahit_6,0.10281460012668649
AAAb_1_B,maxbin2_megahit_017,0.07060297265997578
AAAb_1_B,maxbin2_spades_001,0.018251598164831573
AAAb_1_B,maxbin2_spades_006,0.14543781538063247
AAAb_1_B,maxbin2_spades_028,0.016028849977263938
AAAb_1_B,medium,
AAAb_1_B,metabat1_megahit_20,0.1650988571941633
AAAb_1_B,metabat1_spades_2,0.010627076356033754
AAAb_1_B,metabat2_megahit_14,0.013097314028215358
AAAb_1_B,metabat2_megahit_24,0.1604435583806835
AAAb_1_B,metabat2_megahit_33,0.2901303118446955
AAAb_1_B,metabat2_spades_15,0.9672116422560179
AAAb_1_B,metabat2_spades_18,1.1997399567996874
