,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,3.172959944030079e-11
Control_1_B,maxbin2_spades_001,0.04940335559892754
Control_1_B,maxbin2_spades_006,0.0
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.0
Control_1_B,metabat1_spades_2,3.390777682028584e-09
Control_1_B,metabat2_megahit_14,4.7498620536922734e-12
Control_1_B,metabat2_megahit_24,0.0
Control_1_B,metabat2_megahit_33,0.0
Control_1_B,metabat2_spades_15,0.0
Control_1_B,metabat2_spades_18,0.0
Control_1_B,metabat2_spades_25,0.0
Control_1_B,vamb_megahit_295,4.7772385769151224e-11
Control_1_B,vamb_megahit_39,7.647280751544295e-11
Control_1_B,vamb_megahit_488,0.00015348562359659306
Control_1_B,vamb_megahit_77,4.1797446017594216e-05
Control_1_B,vamb_spades_1,0.0
Control_1_B,vamb_spades_1056,4.289050941083361e-11
Control_1_B,vamb_spades_108,2.267336429511363e-11
Control_1_B,vamb_spades_21,7.880209410977045e-12
Control_1_B,vamb_spades_222,1.8912566797123603e-11
Control_1_B,vamb_spades_267,4.304044471363937e-11
Control_1_B,vamb_spades_286,0.0
Control_1_B,vamb_spades_298,9.573355296072338e-12
Control_1_B,vamb_spades_6,0.0010969520319100497
Control_1_B,vamb_spades_812,3.097918065397647e-11
Control_1_B,vamb_spades_857,5.2698612936064455e-11
Control_2_B,concoct_megahit_6,2.086660606357204e-12
Control_2_B,maxbin2_megahit_017,8.056705105986467e-13
Control_2_B,maxbin2_spades_001,0.059684385986053724
Control_2_B,maxbin2_spades_006,0.0
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0
Control_2_B,metabat1_spades_2,1.2317982330460747e-10
Control_2_B,metabat2_megahit_24,0.0
Control_2_B,metabat2_megahit_33,0.0
Control_2_B,metabat2_spades_15,0.01115657979159611
Control_2_B,metabat2_spades_18,0.0
Control_2_B,metabat2_spades_25,0.0
Control_2_B,vamb_megahit_295,7.426628497531026e-13
Control_2_B,vamb_megahit_488,1.959180441626278e-12
Control_2_B,vamb_megahit_77,7.038149267710686e-12
Control_2_B,vamb_spades_1,0.0
Control_2_B,vamb_spades_1056,1.1116675132872278e-12
Control_2_B,vamb_spades_108,4.063405371364854e-13
Control_2_B,vamb_spades_21,8.838149445683255e-13
Control_2_B,vamb_spades_222,2.131734182532931e-12
Control_2_B,vamb_spades_267,2.1039052698157808e-13
Control_2_B,vamb_spades_286,0.0
Control_2_B,vamb_spades_298,7.53963328299998e-13
Control_2_B,vamb_spades_812,1.5783800079711197e-12
Control_2_B,vamb_spades_857,3.605402561811167e-13
Control_3_B,concoct_megahit_6,8.291795008519982e-13
Control_3_B,maxbin2_megahit_017,2.445008094088265e-12
Control_3_B,maxbin2_spades_001,0.024160935625722805
Control_3_B,maxbin2_spades_006,4.736107909425971e-13
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,5.893541159918496e-13
Control_3_B,metabat1_spades_2,6.3862098955269866e-12
Control_3_B,metabat2_megahit_24,1.1497597975118682e-12
Control_3_B,metabat2_megahit_33,3.854471732814997e-13
Control_3_B,metabat2_spades_15,0.01065082066531733
Control_3_B,metabat2_spades_18,6.490794090251388e-13
Control_3_B,metabat2_spades_25,5.22878012797182e-13
Control_3_B,vamb_megahit_295,1.2064335220044722e-12
Control_3_B,vamb_megahit_488,4.930168769772842e-12
Control_3_B,vamb_megahit_77,4.91306613041299e-12
Control_3_B,vamb_spades_1,7.404704856971994e-13
Control_3_B,vamb_spades_1056,2.3021850961685478e-12
Control_3_B,vamb_spades_108,1.438400821815526e-12
Control_3_B,vamb_spades_21,4.5597605902382484e-12
Control_3_B,vamb_spades_222,1.7823579192145408e-12
Control_3_B,vamb_spades_267,8.443459127650489e-13
Control_3_B,vamb_spades_286,1.0332556974530575e-12
Control_3_B,vamb_spades_298,9.620387516610612e-13
Control_3_B,vamb_spades_812,2.6583067802692612e-12
Control_3_B,vamb_spades_857,8.482716103037989e-13
AA_1_B,concoct_megahit_6,2.2667492437774787e-12
AA_1_B,maxbin2_megahit_017,2.967148526793806e-13
