,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,11.069885587573783,12.327625381922061,13.02146265613028,10.921060214692911,11.547156743060768,11.402859059459924,13.394956457422888,13.657057229428688
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.504793839798776e-08,3.621180612371588e-11
EX_cpd00075_m,-0.0011127592976008017,-0.000999999875569632,-0.0010000000045010198,-0.000999999874212012,-0.0009999999793325015,-0.0009999997345570375,-0.000999997447565492,-0.0009999999882561125
EX_cpd00009_m,-0.15061026932965801,-0.7807747286985419,-0.8175751876301289,-0.686371375743966,-0.3733406716029678,-0.5373590986190511,-1.170483172214385,-0.679385563967009
EX_cpd00023_m,-0.0071478082015428235,-0.00047785183686762484,-0.0005127044955453904,-0.000380619445972108,-0.00039057487689559236,-0.000508255067349894,-0.0007400318723562143,-0.000691262790013587
EX_cpd00027_m,-0.007087144207440262,-0.0009557043550571438,-0.0009780688444998701,-0.00098179911271214,-0.0009615869850777729,-0.0009999993102447308,-0.0009668954310186975,-0.0009858967591655885
EX_cpd00030_m,-0.0005908520010397661,-0.0005500879221381889,-0.0006065164705527081,-0.0005079292896395998,-0.0005335501102995779,-0.0006680744729986617,-0.0007923035400598412,-0.000668510285523631
EX_cpd00034_m,-0.0005868064598976298,-0.0005498162877563895,-0.0006064915660649845,-0.0005075657276612367,-0.0005335501025044794,-0.0006680733886182735,-0.0007925615652734549,-0.000667807656376975
EX_cpd00039_m,-0.001802721700077965,-0.0002587591600000595,-0.00027416921611066983,-0.00022463312549420798,-0.0002495741264874805,-0.00025731505218957654,-0.0003088675322869092,-0.00030456001970468916
EX_cpd00041_m,-0.01014594437560073,-0.00030980733801619636,-0.00036604377208566,-0.0005643315575643635,-0.0006120407750683368,-0.0006545270008514217,-0.0007915022780016065,-0.0007321646894128071
EX_cpd00048_m,-0.1433537055624646,-0.01951792021298377,-0.021969684497128664,-0.021032044580538797,-0.10649910318039839,-0.06820113349740678,-0.03415772370019584,-0.023810285796190482
