,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,1.8972926605557352e-12
Control_1_B,maxbin2_spades_001,0.26628085642827665
Control_1_B,maxbin2_spades_006,0.0
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.0
Control_1_B,metabat1_spades_2,2.176873537292347e-12
Control_1_B,metabat2_megahit_14,6.920372606551664e-12
Control_1_B,metabat2_megahit_24,0.0
Control_1_B,metabat2_megahit_33,0.0
Control_1_B,metabat2_spades_15,0.0
Control_1_B,metabat2_spades_18,0.0
Control_1_B,metabat2_spades_25,0.0
Control_1_B,vamb_megahit_295,0.0
Control_1_B,vamb_megahit_39,1.0348581005037207e-11
Control_1_B,vamb_megahit_488,1.3717538595859222e-11
Control_1_B,vamb_megahit_77,1.0686406560676576e-11
Control_1_B,vamb_spades_1,0.0
Control_1_B,vamb_spades_1056,1.3531303715741281e-11
Control_1_B,vamb_spades_108,0.0
Control_1_B,vamb_spades_21,6.30328448580181e-12
Control_1_B,vamb_spades_222,1.559921432082244e-12
Control_1_B,vamb_spades_267,0.0
Control_1_B,vamb_spades_286,0.0
Control_1_B,vamb_spades_298,0.0
Control_1_B,vamb_spades_6,8.082916745696739e-13
Control_1_B,vamb_spades_812,1.0622633439714236e-11
Control_1_B,vamb_spades_857,0.0
Control_2_B,concoct_megahit_6,4.3626572683690746e-12
Control_2_B,maxbin2_megahit_017,2.057340406015212e-12
Control_2_B,maxbin2_spades_001,0.15965317838233456
Control_2_B,maxbin2_spades_006,0.0
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0
Control_2_B,metabat1_spades_2,7.30496880946525e-12
Control_2_B,metabat2_megahit_24,0.0
Control_2_B,metabat2_megahit_33,0.0
Control_2_B,metabat2_spades_15,0.013474200072397965
Control_2_B,metabat2_spades_18,0.0
Control_2_B,metabat2_spades_25,0.0
Control_2_B,vamb_megahit_295,0.0
Control_2_B,vamb_megahit_488,1.2787889735947631e-11
Control_2_B,vamb_megahit_77,7.453680747256476e-12
Control_2_B,vamb_spades_1,0.0
Control_2_B,vamb_spades_1056,4.93980031826202e-12
Control_2_B,vamb_spades_108,4.704501986867596e-12
Control_2_B,vamb_spades_21,1.144852262366987e-12
Control_2_B,vamb_spades_222,7.511967818760411e-12
Control_2_B,vamb_spades_267,0.0
Control_2_B,vamb_spades_286,0.0
Control_2_B,vamb_spades_298,5.039978294933088e-12
Control_2_B,vamb_spades_812,3.4983382413676744e-12
Control_2_B,vamb_spades_857,2.436592941696639e-12
Control_3_B,concoct_megahit_6,0.00615779379198382
Control_3_B,maxbin2_megahit_017,0.004219925375648861
Control_3_B,maxbin2_spades_001,0.21576588788972767
Control_3_B,maxbin2_spades_006,0.0022854979236301416
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.002360268074590619
Control_3_B,metabat1_spades_2,0.005400536151053476
Control_3_B,metabat2_megahit_24,0.004108682299761324
Control_3_B,metabat2_megahit_33,0.005305087286431929
Control_3_B,metabat2_spades_15,0.006756555240054768
Control_3_B,metabat2_spades_18,0.0037264115824287083
Control_3_B,metabat2_spades_25,0.004093667329992608
Control_3_B,vamb_megahit_295,0.003223757104868751
Control_3_B,vamb_megahit_488,0.0019903883758155593
Control_3_B,vamb_megahit_77,0.007960186876271279
Control_3_B,vamb_spades_1,0.00281904718020735
Control_3_B,vamb_spades_1056,0.0065748810001874484
Control_3_B,vamb_spades_108,0.005983918795123248
Control_3_B,vamb_spades_21,0.007747384060813747
Control_3_B,vamb_spades_222,0.0006806512304917262
Control_3_B,vamb_spades_267,0.0033861672243322163
Control_3_B,vamb_spades_286,0.004593179947602741
Control_3_B,vamb_spades_298,0.004641314300082733
Control_3_B,vamb_spades_812,0.005336311876842726
Control_3_B,vamb_spades_857,0.004026498135363338
AA_1_B,concoct_megahit_6,0.004206114517746151
AA_1_B,maxbin2_megahit_017,0.004257477350429754
AA_1_B,maxbin2_spades_001,0.276491097987935
AA_1_B,maxbin2_spades_006,0.001985246455452626
AA_1_B,medium,
AA_1_B,metabat1_megahit_20,0.002477346994702255
AA_1_B,metabat1_spades_2,0.005317402866604216
AA_1_B,metabat2_megahit_14,0.0011289041195086877
AA_1_B,metabat2_megahit_24,0.004302326129626632
AA_1_B,metabat2_megahit_33,0.004360834514557868
AA_1_B,metabat2_spades_15,0.01099135370984565
AA_1_B,metabat2_spades_18,0.004119154393492959
AA_1_B,metabat2_spades_25,0.0041436880196308755
AA_1_B,vamb_megahit_295,0.0025837745106153383
AA_1_B,vamb_megahit_488,0.0018244469597274444
AA_1_B,vamb_megahit_77,0.009131906187417283
AA_1_B,vamb_spades_1,0.0025756203252471684
AA_1_B,vamb_spades_1056,0.004282380193503624
AA_1_B,vamb_spades_108,0.0040332428476829605
AA_1_B,vamb_spades_21,0.004726436229427011
AA_1_B,vamb_spades_222,0.000763717790083222
AA_1_B,vamb_spades_267,0.0030441131660924
AA_1_B,vamb_spades_286,0.0034556343838648288
AA_1_B,vamb_spades_6,0.0032578334587962743
AA_1_B,vamb_spades_812,0.00373924078516406
AA_1_B,vamb_spades_857,0.003932742170793824
AA_2_B,maxbin2_megahit_017,1.10899812351041e-11
AA_2_B,maxbin2_spades_001,0.19538313175860345
AA_2_B,maxbin2_spades_006,0.0
AA_2_B,medium,
AA_2_B,metabat1_megahit_20,0.0
AA_2_B,metabat2_megahit_24,0.0
AA_2_B,metabat2_megahit_33,0.0
AA_2_B,metabat2_spades_15,0.02249919460124349
AA_2_B,metabat2_spades_18,0.0
AA_2_B,metabat2_spades_25,1.6955464898163502e-11
AA_2_B,vamb_megahit_295,1.667735687311582e-11
AA_2_B,vamb_megahit_39,0.0
AA_2_B,vamb_megahit_488,2.7188812024322375e-11
AA_2_B,vamb_spades_1,9.430925134873465e-12
AA_2_B,vamb_spades_1056,1.3496260909822688e-11
AA_2_B,vamb_spades_108,0.0
AA_2_B,vamb_spades_21,1.8995235157330636e-11
AA_2_B,vamb_spades_222,2.898057085525234e-11
AA_2_B,vamb_spades_267,4.19448105924874e-11
AA_2_B,vamb_spades_286,0.0
AA_2_B,vamb_spades_812,1.8358842639534176e-11
AA_2_B,vamb_spades_857,0.0
AA_3_B,maxbin2_megahit_017,0.0
AA_3_B,maxbin2_spades_001,0.22254794310454315
AA_3_B,maxbin2_spades_006,0.0
AA_3_B,medium,
AA_3_B,metabat1_megahit_20,0.0
AA_3_B,metabat1_spades_2,1.001152096669409e-11
AA_3_B,metabat2_megahit_24,0.0
AA_3_B,metabat2_megahit_33,0.0
AA_3_B,metabat2_spades_15,0.019372656954748727
AA_3_B,metabat2_spades_18,0.0
AA_3_B,metabat2_spades_25,0.0
AA_3_B,vamb_megahit_295,0.0
AA_3_B,vamb_megahit_488,0.0
AA_3_B,vamb_spades_1,0.0
AA_3_B,vamb_spades_1056,1.0309970339752593e-11
AA_3_B,vamb_spades_108,0.0
AA_3_B,vamb_spades_21,0.0
AA_3_B,vamb_spades_222,0.0
AA_3_B,vamb_spades_267,0.0
AA_3_B,vamb_spades_286,0.0
AA_3_B,vamb_spades_812,8.955265718974253e-13
AA_3_B,vamb_spades_857,0.0
AAAb_1_B,concoct_megahit_6,0.0
AAAb_1_B,maxbin2_megahit_017,0.0
AAAb_1_B,maxbin2_spades_001,0.232921470293191
AAAb_1_B,maxbin2_spades_006,0.0
AAAb_1_B,maxbin2_spades_028,0.0
AAAb_1_B,medium,
AAAb_1_B,metabat1_megahit_20,0.0
AAAb_1_B,metabat1_spades_2,2.0940421458755137e-12
AAAb_1_B,metabat2_megahit_14,1.2837097319702682e-12
AAAb_1_B,metabat2_megahit_24,0.0
AAAb_1_B,metabat2_megahit_33,0.0
AAAb_1_B,metabat2_spades_15,0.03391074080681629
AAAb_1_B,metabat2_spades_18,0.0
AAAb_1_B,metabat2_spades_25,0.0
AAAb_1_B,vamb_megahit_39,2.392665859885376e-12
AAAb_1_B,vamb_megahit_488,0.0
AAAb_1_B,vamb_spades_1,0.0
AAAb_1_B,vamb_spades_1056,2.8490255389639827e-12
AAAb_1_B,vamb_spades_108,0.0
AAAb_1_B,vamb_spades_21,0.0
AAAb_1_B,vamb_spades_222,3.680956207077246e-12
AAAb_1_B,vamb_spades_267,0.0
AAAb_1_B,vamb_spades_286,0.0
AAAb_1_B,vamb_spades_6,1.2958139409327777e-12
AAAb_1_B,vamb_spades_812,1.238568702318008e-12
AAAb_1_B,vamb_spades_857,0.0
AAAb_2_B,concoct_megahit_6,0.004127153746505298
AAAb_2_B,maxbin2_megahit_017,0.0023745613699370735
AAAb_2_B,maxbin2_spades_001,0.16880216173420795
AAAb_2_B,maxbin2_spades_006,0.0018470046744754056
AAAb_2_B,maxbin2_spades_028,0.002397819242105713
AAAb_2_B,medium,
AAAb_2_B,metabat1_megahit_20,0.0029877817515824557
AAAb_2_B,metabat1_spades_2,0.005602510369563847
AAAb_2_B,metabat2_megahit_14,0.0006991828514962404
AAAb_2_B,metabat2_megahit_24,0.0037290148030822796
AAAb_2_B,metabat2_megahit_33,0.0038850288945581147
AAAb_2_B,metabat2_spades_15,0.011872969307021518
AAAb_2_B,metabat2_spades_18,0.00697779981616216
AAAb_2_B,metabat2_spades_25,0.004454558690082409
AAAb_2_B,vamb_megahit_39,0.002810750472349547
AAAb_2_B,vamb_megahit_488,0.001476887723071173
AAAb_2_B,vamb_spades_1056,0.003087777087000738
AAAb_2_B,vamb_spades_108,0.0032544828584492643
AAAb_2_B,vamb_spades_21,0.0046213371295897995
AAAb_2_B,vamb_spades_222,0.0007122248618250828
AAAb_2_B,vamb_spades_267,0.002767163146646736
AAAb_2_B,vamb_spades_286,0.0032172922381976006
AAAb_2_B,vamb_spades_298,0.004034398360494804
AAAb_2_B,vamb_spades_6,0.0021068301737151643
AAAb_2_B,vamb_spades_812,0.002723896311521594
AAAb_2_B,vamb_spades_857,0.003135433712779265
