,Growth rate_coco
Control_1_B,0.007385514043778329
Control_2_B,0.008060890198863213
Control_3_B,0.04535781624951035
AA_1_B,0.05647190142555738
AA_2_B,0.05078977747547618
AA_3_B,"Series([], dtype: float64)"
AAAb_1_B,0.04259800784010111
AAAb_2_B,0.051624545864717396
