,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,0.0
Control_1_B,maxbin2_spades_001,0.23305157455243028
Control_1_B,maxbin2_spades_006,0.0
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.0
Control_1_B,metabat1_spades_2,0.0
Control_1_B,metabat2_megahit_14,0.0
Control_1_B,metabat2_megahit_24,0.0
Control_1_B,metabat2_megahit_33,0.0
Control_1_B,metabat2_spades_15,0.0
Control_1_B,metabat2_spades_18,0.0
Control_1_B,metabat2_spades_25,0.0
Control_1_B,vamb_megahit_295,0.0
Control_1_B,vamb_megahit_39,0.0
Control_1_B,vamb_megahit_488,0.0
Control_1_B,vamb_megahit_77,0.0
Control_1_B,vamb_spades_1,0.0
Control_1_B,vamb_spades_1056,0.0
Control_1_B,vamb_spades_108,0.0
Control_1_B,vamb_spades_21,0.0
Control_1_B,vamb_spades_222,0.0
Control_1_B,vamb_spades_267,0.0
Control_1_B,vamb_spades_286,0.0
Control_1_B,vamb_spades_298,0.0
Control_1_B,vamb_spades_6,0.0
Control_1_B,vamb_spades_812,0.0
Control_1_B,vamb_spades_857,0.0
Control_2_B,concoct_megahit_6,1.0559490694301363e-10
Control_2_B,maxbin2_megahit_017,0.0
Control_2_B,maxbin2_spades_001,0.13261174747991983
Control_2_B,maxbin2_spades_006,0.0
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0
Control_2_B,metabat1_spades_2,2.696946385567257e-10
Control_2_B,metabat2_megahit_24,0.0
Control_2_B,metabat2_megahit_33,0.0
Control_2_B,metabat2_spades_15,0.010599218014985274
Control_2_B,metabat2_spades_18,0.0
Control_2_B,metabat2_spades_25,0.0
Control_2_B,vamb_megahit_295,0.0
Control_2_B,vamb_megahit_488,0.0
Control_2_B,vamb_megahit_77,2.5798128434139276e-10
Control_2_B,vamb_spades_1,0.0
Control_2_B,vamb_spades_1056,2.3868507300063664e-10
Control_2_B,vamb_spades_108,0.0
Control_2_B,vamb_spades_21,0.0
Control_2_B,vamb_spades_222,3.5660959453545266e-10
Control_2_B,vamb_spades_267,0.0
Control_2_B,vamb_spades_286,0.0
Control_2_B,vamb_spades_298,0.0
Control_2_B,vamb_spades_812,1.4514225114323802e-10
Control_2_B,vamb_spades_857,0.0
Control_3_B,concoct_megahit_6,0.005523219211866128
Control_3_B,maxbin2_megahit_017,0.004905212131047459
Control_3_B,maxbin2_spades_001,0.18875352828228129
Control_3_B,maxbin2_spades_006,0.0024848723751647386
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.0025025044745223034
Control_3_B,metabat1_spades_2,0.007332381100677776
Control_3_B,metabat2_megahit_24,0.003256002847561796
Control_3_B,metabat2_megahit_33,0.004295074974666021
Control_3_B,metabat2_spades_15,0.006562780107271586
Control_3_B,metabat2_spades_18,0.004705619520634336
Control_3_B,metabat2_spades_25,0.004055714992582612
Control_3_B,vamb_megahit_295,0.0020726999806253755
Control_3_B,vamb_megahit_488,0.0015852766731780463
Control_3_B,vamb_megahit_77,0.007077153713620372
Control_3_B,vamb_spades_1,0.003711753038734324
Control_3_B,vamb_spades_1056,0.0057761233850679074
Control_3_B,vamb_spades_108,0.004559030470235698
Control_3_B,vamb_spades_21,0.006848998157753299
Control_3_B,vamb_spades_222,0.0011598504428633227
Control_3_B,vamb_spades_267,0.003933321309169451
Control_3_B,vamb_spades_286,0.004006561187965005
Control_3_B,vamb_spades_298,0.004499788001065962
Control_3_B,vamb_spades_812,0.004959203068877496
Control_3_B,vamb_spades_857,0.004984726916393224
AA_1_B,concoct_megahit_6,0.004803205343878856
AA_1_B,maxbin2_megahit_017,0.0045670378364092755
AA_1_B,maxbin2_spades_001,0.24188997273267185
AA_1_B,maxbin2_spades_006,0.002220028931332703
AA_1_B,medium,
AA_1_B,metabat1_megahit_20,0.002848042243623284
AA_1_B,metabat1_spades_2,0.003845127797130478
AA_1_B,metabat2_megahit_14,0.0013373851083387771
AA_1_B,metabat2_megahit_24,0.0043369481266610265
AA_1_B,metabat2_megahit_33,0.004522649435764497
AA_1_B,metabat2_spades_15,0.009937331487208882
AA_1_B,metabat2_spades_18,0.004174191345940752
AA_1_B,metabat2_spades_25,0.0034136463877566642
AA_1_B,vamb_megahit_295,0.0020621930661598007
AA_1_B,vamb_megahit_488,0.001441741862477312
AA_1_B,vamb_megahit_77,0.006814568325265799
AA_1_B,vamb_spades_1,0.0030128376361480283
AA_1_B,vamb_spades_1056,0.005029478934862235
AA_1_B,vamb_spades_108,0.0045580499046873795
AA_1_B,vamb_spades_21,0.005740448597515672
AA_1_B,vamb_spades_222,0.0008106451478101065
AA_1_B,vamb_spades_267,0.003604704932645539
AA_1_B,vamb_spades_286,0.0032294506652234653
AA_1_B,vamb_spades_6,0.003287279000405384
AA_1_B,vamb_spades_812,0.004456181039395429
AA_1_B,vamb_spades_857,0.004737577108130748
AA_2_B,maxbin2_megahit_017,4.635826625755435e-13
AA_2_B,maxbin2_spades_001,0.1542423359126301
AA_2_B,maxbin2_spades_006,0.0
AA_2_B,medium,
AA_2_B,metabat1_megahit_20,0.0
AA_2_B,metabat2_megahit_24,0.0
AA_2_B,metabat2_megahit_33,0.0
AA_2_B,metabat2_spades_15,0.021003331177679274
AA_2_B,metabat2_spades_18,0.0
AA_2_B,metabat2_spades_25,0.0
AA_2_B,vamb_megahit_295,5.232583457384172e-13
AA_2_B,vamb_megahit_39,2.1964992997293372e-13
AA_2_B,vamb_megahit_488,1.1719204078436898e-12
AA_2_B,vamb_spades_1,4.891802336885916e-13
AA_2_B,vamb_spades_1056,2.0611503650626925e-12
AA_2_B,vamb_spades_108,0.0
AA_2_B,vamb_spades_21,9.47629883809777e-13
AA_2_B,vamb_spades_222,4.4630510853084575e-12
AA_2_B,vamb_spades_267,9.71333934807171e-13
AA_2_B,vamb_spades_286,0.0
AA_2_B,vamb_spades_812,2.165524581245067e-12
AA_2_B,vamb_spades_857,2.3614094650329524e-13
AA_3_B,maxbin2_megahit_017,4.637652069917145e-10
AA_3_B,maxbin2_spades_001,0.17084049163992082
AA_3_B,maxbin2_spades_006,0.0
AA_3_B,medium,
AA_3_B,metabat1_megahit_20,0.0
AA_3_B,metabat1_spades_2,1.7147695858047265e-10
AA_3_B,metabat2_megahit_24,7.224822812421206e-10
AA_3_B,metabat2_megahit_33,0.0
AA_3_B,metabat2_spades_15,0.017130469373939444
AA_3_B,metabat2_spades_18,0.0
AA_3_B,metabat2_spades_25,0.0
AA_3_B,vamb_megahit_295,5.105643047113986e-10
AA_3_B,vamb_megahit_488,1.028631109934563e-09
AA_3_B,vamb_spades_1,7.396514501176181e-11
AA_3_B,vamb_spades_1056,6.534770528791899e-10
AA_3_B,vamb_spades_108,0.0
AA_3_B,vamb_spades_21,0.0
AA_3_B,vamb_spades_222,7.667030640339948e-10
AA_3_B,vamb_spades_267,0.0
AA_3_B,vamb_spades_286,0.0
AA_3_B,vamb_spades_812,1.358050880376723e-10
AA_3_B,vamb_spades_857,0.0
AAAb_1_B,concoct_megahit_6,0.0
AAAb_1_B,maxbin2_megahit_017,0.0
AAAb_1_B,maxbin2_spades_001,0.18102889542059275
AAAb_1_B,maxbin2_spades_006,0.0
AAAb_1_B,maxbin2_spades_028,3.530473576912471e-12
AAAb_1_B,medium,
AAAb_1_B,metabat1_megahit_20,0.0
AAAb_1_B,metabat1_spades_2,6.140327632082087e-13
AAAb_1_B,metabat2_megahit_14,1.255923606383005e-12
AAAb_1_B,metabat2_megahit_24,0.0
AAAb_1_B,metabat2_megahit_33,0.0
AAAb_1_B,metabat2_spades_15,0.03166761221475638
AAAb_1_B,metabat2_spades_18,0.0
AAAb_1_B,metabat2_spades_25,0.0
AAAb_1_B,vamb_megahit_39,1.9834973199718787e-12
AAAb_1_B,vamb_megahit_488,0.0
AAAb_1_B,vamb_spades_1,0.0
AAAb_1_B,vamb_spades_1056,2.7144845169603567e-12
AAAb_1_B,vamb_spades_108,0.0
AAAb_1_B,vamb_spades_21,0.0
AAAb_1_B,vamb_spades_222,3.155920379777958e-12
AAAb_1_B,vamb_spades_267,0.0
AAAb_1_B,vamb_spades_286,0.0
AAAb_1_B,vamb_spades_6,1.0973166863989454e-12
AAAb_1_B,vamb_spades_812,8.097076305651988e-13
AAAb_1_B,vamb_spades_857,0.0
AAAb_2_B,concoct_megahit_6,0.0008156821987922988
AAAb_2_B,maxbin2_megahit_017,0.0
AAAb_2_B,maxbin2_spades_001,0.14696016990283267
AAAb_2_B,maxbin2_spades_006,0.0
AAAb_2_B,maxbin2_spades_028,4.899019763395576e-10
AAAb_2_B,medium,
AAAb_2_B,metabat1_megahit_20,0.0
AAAb_2_B,metabat1_spades_2,0.0058266749676994965
AAAb_2_B,metabat2_megahit_14,9.691043653724025e-11
AAAb_2_B,metabat2_megahit_24,0.0
AAAb_2_B,metabat2_megahit_33,0.0
AAAb_2_B,metabat2_spades_15,0.016975885758623008
AAAb_2_B,metabat2_spades_18,0.0
AAAb_2_B,metabat2_spades_25,0.0
AAAb_2_B,vamb_megahit_39,0.001834196189238281
AAAb_2_B,vamb_megahit_488,0.0
AAAb_2_B,vamb_spades_1056,2.3502263434115094e-10
AAAb_2_B,vamb_spades_108,0.0
AAAb_2_B,vamb_spades_21,0.0
AAAb_2_B,vamb_spades_222,1.3165242251696534e-10
AAAb_2_B,vamb_spades_267,0.0
AAAb_2_B,vamb_spades_286,0.0
AAAb_2_B,vamb_spades_298,0.0017744870974178311
AAAb_2_B,vamb_spades_6,0.001038152916528869
AAAb_2_B,vamb_spades_812,6.275723847003787e-11
AAAb_2_B,vamb_spades_857,0.0
