,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,11.017929472900976,11.543030069423299,12.183295728054645,10.14975919984963,10.683578172374759,11.226877747265807,12.584720633987486,12.016577884157485
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.038302628295946e-10,2.1083300975687275e-10
EX_cpd00075_m,0.0009993403106714192,-0.0010000000004206744,-0.0009999999698151632,-0.0010000079918462018,-0.0009999998934145588,-0.0009999984617627285,-0.000999999767614516,-0.0005967747137126475
EX_cpd00009_m,-0.014356054129905189,-0.4851888505006872,-0.22277209131522846,-0.2883896257874443,-0.19131215186231268,-0.034130256047786016,-0.15818887507729198,-0.1564768583099993
EX_cpd00023_m,-0.0003999851732062716,-0.0004640221325865838,-0.0004978694172413016,-0.0003697786964263596,-0.0003792798070368756,-0.000493559870587145,-0.0007186140856172635,-0.003723753429513895
EX_cpd00027_m,-0.0009999956335123505,-0.0009999994689789094,-0.000996534544351161,-0.0009994681412920084,-0.0009606507203042509,-0.0009999960379397882,-0.0009851906963427987,-0.0011590356132059891
EX_cpd00030_m,-3.2161722704757685e-05,-0.0003094712087355957,-0.00041022164771496505,-0.00046692350715353835,-0.0004199781497000414,-0.00020877379764291563,-0.0006682296176749187,-0.0004382929080837442
EX_cpd00034_m,-3.189275695389672e-05,-0.00030953106894090294,-0.00041017963398993926,-0.0004663888212131749,-0.0004199781718782506,-0.00020842764494384994,-0.0006617149533916726,-0.00043829363381406555
EX_cpd00039_m,-0.0002709960715627465,-0.00025127441749322695,-0.00026623413802283043,-0.00021822438180428536,-0.00024235909539349515,-0.0002498764573862071,-0.00029993224874061273,-0.0008657720449939486
EX_cpd00041_m,-0.0003021454709882128,-0.0003008374895898992,-0.00035545374109719656,-0.0005505844201914372,-0.0005943407496636616,-0.0006356044949819318,-0.000768584563017534,-0.006793417247637749
EX_cpd00048_m,-0.2986541635087909,-0.028956634516458468,-0.08308899937585108,-0.046265457466995605,-0.07011581163348198,-0.2662524511633988,-0.1984661967173721,-0.025031746694802893
EX_cpd00051_m,-0.00027319524983870203,-0.00022295304241311639,-0.00029267279072608276,-0.00021019855503858365,-0.00024556574251773284,-0.00027167359302866486,-0.000362355536643952,-0.0010400410699469016
EX_cpd00053_m,-4.720453427684181e-05,-4.3190580517129164e-05,-5.4242233459046325e-05,-4.0346810031725726e-05,-4.1132397881571344e-05,-4.8639156102341475e-05,1.0937986039227243e-10,1.754587194442124e-11
EX_cpd00064_m,-5.608048599548441e-05,-5.169645990720841e-05,-5.8920182275011225e-05,-4.631032287358877e-05,-4.70315869058543e-05,-4.590179144634997e-05,-5.151449578148537e-05,-0.010965331183390135
EX_cpd00098_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
