,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,11.480209711310481,11.805206519312165,12.525345279868603,10.503985184198598,11.058807621969073,11.702287264769229,60.33063620819701,60.99158108220131
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0032079497177627514,0.0030226127167771676
EX_cpd00075_m,-0.0007568268221350157,-0.0005894431931766075,-0.0004773121075533415,-0.0006412218599282753,-0.0007703153277868911,-0.00041221129396720794,-0.009387841071177466,-0.009349999385563426
EX_cpd00009_m,-0.05318032380352548,-0.8153611218051499,-0.79921239139698,-0.5211095271860657,-0.5172295290764712,-0.06077859668845046,-7.153936647507779,-7.611768807453746
EX_cpd00023_m,-0.0003994334440523929,-0.00046031510454743374,-0.0004931948888182686,-0.00036589978179367324,-0.0003759719064045669,-0.012692722371172997,-0.004445278859624439,-0.00418243289286327
EX_cpd00027_m,-0.0009874168838826449,-0.000982086975888823,-0.0009819037711159197,-0.0009818226898584165,-0.000981144378492433,-0.005661727145379317,-0.009806674323801601,-0.009813478010570894
EX_cpd00030_m,-3.0799605309090353e-06,-1.149315314259127e-06,3.293685268231524e-14,9.49843107599946e-13,-9.640278397780809e-11,-2.4181034785266884e-06,-9.114453816475851e-06,-2.9661843182195918e-09
EX_cpd00034_m,2.3739680632719357e-10,-1.5699132776128393e-06,5.360930970395594e-14,9.695927245512796e-14,-4.995892604734854e-08,-2.5152242023867696e-06,-9.13951797676408e-06,-3.2619670187103144e-08
EX_cpd00039_m,-0.00026942469123026626,-0.00024899712591796804,-0.0002636243768157906,-0.000215712369853646,-0.00023986447444295325,-0.0013983814062820232,-0.0014832005463904278,-0.001513795198267682
EX_cpd00041_m,-0.00030549069811815113,-0.000297796591585031,-0.0003520907699266594,-0.0005435014668256031,-0.000589060571490708,-0.010918870129307775,-0.004679170287713243,-0.004424471915069242
EX_cpd00048_m,-0.2254909137396466,-0.028607366370785002,-0.030873055660217353,-0.03869611298289153,-0.04558530666990716,-0.18961013469255708,-1.1753697565752355,-0.39925911418322546
EX_cpd00051_m,-0.0002714198191999499,-0.00022103241963879398,-0.00028990466396336384,-0.00020781592497362314,-0.00024343530737314637,-0.007681839282390147,-0.002229566475468022,-0.0017889578122656838
EX_cpd00053_m,-4.7692227853693694e-05,-4.278809213584375e-05,-5.37173374691219e-05,-3.775571349952759e-05,-4.0806176458681124e-05,-0.0014816493572892117,1.6736217191814928e-06,8.673853521774758e-07
EX_cpd00064_m,-5.817692773429975e-05,-5.125440413681767e-05,-5.835550409002063e-05,-4.4185196981475115e-05,-4.6607208250946926e-05,-0.008684175682705686,-0.00030111777180669516,-0.00029512742750093787
EX_cpd00098_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_cpd00105_m,-0.00041182542310438074,-3.102715583945537e-05,-0.00037725118068300013,-0.0007244989546834613,-0.0005843078511926017,-0.0005441110400620647,-0.0030248380335466257,0.00031455198259211503
EX_cpd00107_m,-0.0006528276141671549,-0.0005736271682617534,-0.0006787264528934269,-0.0008363600905383716,-0.0009605035484764676,-0.0016996405770623737,-0.0062564837376137715,-0.005918538142319743
EX_cpd00108_m,-0.0005006777872324508,-0.00013491938875734234,-0.00045533252733229656,-0.0007611202995510022,-0.000640839198454338,-0.0006732810239461924,-0.0031044186051744126,-1.3287690190069007e-05
EX_cpd00118_m,0.001043561155479808,0.002870622801112728,0.0010264390537695622,5.0594808143185344e-05,0.00048676659278288487,-8.670571234227487e-05,0.13664032342277335,0.1552546958237446
EX_cpd00119_m,-5.2243832728202584e-05,-3.6348968389648105e-05,-5.008174115962096e-05,-3.479415909032804e-05,-3.7279193283754026e-05,-0.00023526332346930845,-6.759571295045421e-05,-5.3745317382717934e-05
EX_cpd00129_m,-0.0002096703537928369,-0.00018543882907312462,-0.00023533122458211224,-0.00016430225630910264,-0.00017244594575041797,-0.003939658321641876,-0.001305982207783528,-0.0013645159054516116
EX_cpd00149_m,2.286647449469999e-11,-2.0080768795204606e-07,-9.691430068320318e-10,-3.880004156128587e-05,-6.227137012668413e-09,-0.00020275159155827842,-8.641654335874847e-06,-5.1186899968567085e-11
EX_cpd00154_m,-0.0008634303812645905,-0.0007815387790501462,-0.0008054550429088419,-0.0008613816255927812,-0.0008752009492533862,-0.0008651762343049728,-0.008377135836109929,-0.008185460216161511
EX_cpd00156_m,-0.00045012396883703894,-0.0004956272999418886,-0.0005835889593208641,-0.0009243246316372448,-0.0010668735906046627,-0.004723110605626082,-0.006562945296676046,-0.006738163222611069
EX_cpd00161_m,-0.0003018755559030082,-0.0002853753368851519,-0.0003497564167272161,-0.0002512248396873353,-0.00030412533088630537,-0.0006753594159029762,-0.00254061158356111,-0.0022395793147220442
EX_cpd00179_m,-0.0008733621343470356,-0.0009718942195515667,-0.0009745852893663446,-0.0009655004434670748,-0.0009722624106018246,-0.0011545172246291556,-0.009626968385810696,-0.009636177550382555
EX_cpd00209_m,-0.0009445728518187753,-0.000762994544025525,-0.0008494226161633434,-0.0005248556440508199,-0.0008764602139855508,-0.0008596777744476045,-0.009649332706356253,-0.009161368009229629
EX_cpd00210_m,-0.0008719414389594542,-0.000923225718935293,-0.0008960529561972613,-0.000874593313614291,-0.0008888037853525542,-0.0008774971174403169,-0.008914409445820896,-0.009113366900250242
EX_cpd00224_m,-0.0008405405025061068,-0.0008164933651949692,-0.0008372276570754628,-0.0008775294714519897,-0.0008565569861414795,-0.0008921547414370908,-0.008369378345862325,-0.0077153596045319685
EX_cpd00244_m,-1.7620173456345534e-06,-9.832706806892593e-06,-7.224258678831873e-07,-3.0125892221143708e-05,-3.102292544793165e-07,-0.00010037210381407303,-3.73917980199204e-08,-1.469375863001481e-06
EX_cpd00264_m,0.008483957261189171,0.004877349170805595,0.0049387780887791485,0.0031958828792255597,0.003655744333825709,0.003923001290211739,0.09951173947727997,0.05845765320487903
EX_cpd00268_m,1.284407107839314e-12,5.433774932705461e-13,-1.567965694842338e-15,-1.5306042331944597e-13,-6.320909904169482e-15,-0.0006989387692640489,9.535268330475318e-15,1.8221942111888016e-11
EX_cpd00305_m,0.03469291886493912,0.018113782770448807,0.01916353374081992,0.01262087810766261,0.01570405626972531,0.013874813779276955,0.29146411726398275,0.23282272736318665
EX_cpd00322_m,-0.0004043596193837349,-0.0003722342223346987,-0.00043175399519569863,-0.0002984487447621418,-0.0003592038432468828,-0.005117765831825541,-0.0005756953253150741,-0.0004893899411817075
EX_cpd00266_m,3.66473639269787e-14,5.234396754884657e-13,5.3635901894785524e-14,2.015798482289922e-14,5.835488166959184e-14,3.4565787841798763e-12,2.126763464894188e-14,4.060251173332959e-13
EX_cpd00540_m,-1.1309395221105342e-05,-5.0689975255138715e-06,-5.87530414566364e-06,-6.638758044120261e-06,-7.04916064910157e-06,-0.0007728540825018133,-1.554758770582959e-14,-1.1810832237131089e-11
EX_cpd08305_m,4.11386737394319e-14,5.046801186988099e-13,-3.4152164079194624e-14,2.1831766722133336e-14,2.7683105681516567e-14,3.718504656508581e-12,2.1176998046438928e-14,1.7899112735941314e-13
EX_cpd10516_m,-2.4520205844345674e-07,-3.7423051905472503e-06,-3.977461568156407e-06,-3.462629253603483e-06,-4.6509787787653755e-06,-0.00011135425202205212,-1.656110127981181e-05,-3.2660439316378936e-08
EX_cpd00067_m,0.0,0.0,0.0,0.0,0.0,-0.1245207514568701,0.0,0.0
EX_cpd00092_m,0.012913891556438503,0.02305852167496198,0.001464026084081407,0.000517031429596733,0.0009437140386359833,0.0012937248255752865,0.1342773320262283,0.03623409477755443
EX_cpd00367_m,-0.0006219229173629603,-0.0004829496951450629,-0.0006071406693166637,-0.0008152086691612936,-0.0007846923292218477,-0.0007304827088234767,-0.00023955616697213244,-0.003217716772577983
