,Growth rate_coco
Control_1_B,0.09718365077363686
Control_2_B,0.07916524686526083
Control_3_B,0.09081128149380979
AA_1_B,0.08798390791270047
AA_2_B,0.0819698530803547
AA_3_B,0.09127388813236223
AAAb_1_B,0.12255807071625854
AAAb_2_B,0.09015356927842119
