,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,11.70355134485563,12.921840329407729,13.523200480635413,11.113709281525189,11.99396339649045,11.67511260786086,14.099172575329401,14.562261650208436
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.770389763878048e-09,4.126159781561887e-09
EX_cpd00075_m,-0.0010000000019243513,-0.0009999999941696768,-0.0010000000175614588,-0.0009999999493599694,-0.001000001691952019,-0.000999999994626665,-0.0009999986492230156,-0.0009999993037733592
EX_cpd00009_m,-1.0840749653149475,-1.1013498074908727,-1.0706344339290157,-0.7627245507587799,-0.5510432861491341,-0.9097736947624077,-1.2438369758949552,-0.8919340964992056
EX_cpd00023_m,-0.0004197957709763078,-0.00048707195099609757,-0.0005225945355551837,-0.000387970489775665,-0.00039812255014932133,-0.000518054854452816,-0.0007543400003672932,-0.0007045921345504067
EX_cpd00027_m,-0.000978342367528601,-0.000981531211396261,-0.0009692760013521203,-0.0009832869530833393,-0.0009858335797136592,-0.0009827149256763314,-0.0009753249401758838,-0.0009883281285426578
EX_cpd00030_m,-0.0007216020381639855,-0.0004595173482291535,-0.0006273185622442644,-0.0007060021681238862,-0.0006470989568970819,-0.000710535228211993,-0.000812728567200674,-0.0007728461711103454
EX_cpd00034_m,-0.0007195668594106368,-0.0004582679361904053,-0.000628084797644098,-0.0007053234267462446,-0.0006460214451319083,-0.0007105352296023472,-0.0008127704013729715,-0.000771487169516515
EX_cpd00039_m,-0.00028444368469274434,-0.00026374922574965467,-0.00027945926819581763,-0.00022897395434863158,-0.000254396611130097,-0.0002622750355320373,-0.0003148456730420112,-0.00031042884611049196
EX_cpd00041_m,-0.0003171376542097752,-0.000315787450352063,-0.00037310378476998566,-0.0005752335150234907,-0.0006239184898438746,-0.0006671466741450322,-0.0008067939125134705,-0.0007462841236741231
EX_cpd00048_m,-0.033586892208738575,-0.02520224554435128,-0.027151430636842208,-0.02495859423228768,-0.10157401870690182,-0.02516152603915461,-0.03664664385029974,-0.029813549400096742
EX_cpd00051_m,-0.00028665717456096074,-0.00023402744220121487,-0.000307223190622659,-0.00022041891121562653,-0.0002577861093542519,-0.0002851431471436369,-0.00038039385374546693,-0.00030794671046016105
EX_cpd00053_m,-4.943472642310668e-05,-4.534035323391091e-05,-5.694236633575018e-05,-3.8604350522315294e-05,-4.328920589155216e-05,-5.106422593044667e-05,1.5237432269483157e-09,6.872941702516914e-10
EX_cpd00064_m,-5.884701850165603e-05,-5.4270920498475234e-05,-6.184554677272408e-05,-4.569593160055594e-05,-4.936993739579796e-05,-4.817075636757071e-05,-5.408274456589802e-05,-5.408591430756318e-05
EX_cpd00098_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_cpd00105_m,-0.00030324977801648827,-0.0003306092040659789,-5.323800750065867e-06,-0.0001943459105665582,-0.00024637120804799637,-0.0004142305069616101,-0.0003660354233828585,-0.0002470004809410585
EX_cpd00107_m,-0.0006855144900931525,-0.0006081521753037587,-0.0007195203805886144,-0.0008865818630645903,-0.001017187293536027,-0.0010447898239688014,-0.0013080316487633441,-0.0011581357299388917
EX_cpd00108_m,-0.0003082246270538179,-0.0003681869703868305,4.746937281218126e-05,-0.0002069736329171879,-0.00019060399551718433,-0.00041983971552610666,-0.0003444498320708013,-0.0002642477750443269
EX_cpd00118_m,-0.0010008304326011054,-0.0010002250549030495,-0.0009995556705859696,-0.0009994573631707838,-0.0009996750419338455,-0.0009992213628826213,-0.0010038890353062692,-0.0009983783778532533
EX_cpd00119_m,-5.6523830398705636e-05,-3.844310697331207e-05,-5.4201774776354745e-05,-3.650276319660648e-05,-4.032277326772502e-05,-4.208457871362271e-05,-7.315916882303262e-05,-5.8144820007678734e-05
EX_cpd00129_m,-0.00022205714235842215,-0.00019634181535993947,-0.00024942352731488097,-0.00017402729561212106,-0.00018288542060962456,-0.00021790566904510356,-0.00029425479555186313,-0.00027091106308543226
EX_cpd00149_m,-0.0007218418733967719,-0.0006208097698236874,-0.0006297899330431553,-0.0007062761718214821,-0.0006472681251766767,-0.0007110680430210547,-0.000967958618784722,-0.0007961201152027692
EX_cpd00154_m,-0.0008474919949541218,-0.000790632824236146,-0.0007753316551096976,-0.0007693228509686257,-0.0008422274147480243,-0.0007888894433436534,-0.0008510466870989073,-0.0008597461105972245
