,Growth rate
Control_1_B,0.0025781564142747125
Control_2_B,0.049346247952419986
Control_3_B,0.05371779832770697
AA_1_B,0.06384084443452119
AA_2_B,0.05419182683602529
AA_3_B,0.05207163096786617
AAAb_1_B,0.0850390680655596
AAAb_2_B,0.06320945432717752
