,compartments,0
Control_1_B,maxbin2_megahit_017,3.385095395036713e-07
Control_1_B,maxbin2_spades_001,0.008128871782216466
Control_1_B,maxbin2_spades_006,2.00536644160277e-08
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,1.501721389799994e-07
Control_1_B,metabat1_spades_2,1.4575004490232935e-06
Control_1_B,metabat2_megahit_14,4.6583708777009733e-07
Control_1_B,metabat2_megahit_24,2.1506113272425597e-07
Control_1_B,metabat2_megahit_33,5.356267204462057e-08
Control_1_B,metabat2_spades_15,1.4821063989954808e-07
Control_1_B,metabat2_spades_18,1.6925064719838245e-07
Control_1_B,metabat2_spades_25,9.899249302151201e-08
Control_1_B,vamb_megahit_295,3.1487603691610297e-07
Control_1_B,vamb_megahit_39,7.892662913008231e-07
Control_1_B,vamb_megahit_488,7.43313027270417e-07
Control_1_B,vamb_megahit_77,2.1143386987949593e-06
Control_1_B,vamb_spades_1,1.251399509512949e-07
Control_1_B,vamb_spades_1056,6.0687979034717e-07
Control_1_B,vamb_spades_108,1.3821212838571652e-07
Control_1_B,vamb_spades_21,7.741941303603134e-07
Control_1_B,vamb_spades_222,3.7516603808410875e-07
Control_1_B,vamb_spades_267,2.866922930659463e-07
Control_1_B,vamb_spades_286,1.8254888045557192e-07
Control_1_B,vamb_spades_298,2.6660360730617496e-07
Control_1_B,vamb_spades_6,5.580315234219574e-06
Control_1_B,vamb_spades_812,6.167262599509691e-07
Control_1_B,vamb_spades_857,2.577141382964306e-07
Control_2_B,concoct_megahit_6,1.1608772691917928e-12
Control_2_B,maxbin2_megahit_017,5.897532981203224e-13
Control_2_B,maxbin2_spades_001,0.008685147382662519
Control_2_B,maxbin2_spades_006,0.0
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0
Control_2_B,metabat1_spades_2,4.96226488621115e-12
Control_2_B,metabat2_megahit_24,0.0
Control_2_B,metabat2_megahit_33,0.0
Control_2_B,metabat2_spades_15,0.0
Control_2_B,metabat2_spades_18,0.0
Control_2_B,metabat2_spades_25,0.0
Control_2_B,vamb_megahit_295,5.12020340401409e-13
Control_2_B,vamb_megahit_488,9.164250888018564e-13
Control_2_B,vamb_megahit_77,2.2788196298338532e-12
Control_2_B,vamb_spades_1,1.1020654901135245e-13
Control_2_B,vamb_spades_1056,1.1727495385805515e-12
Control_2_B,vamb_spades_108,2.491366456768779e-13
Control_2_B,vamb_spades_21,6.426641849579863e-13
Control_2_B,vamb_spades_222,1.4860004111257303e-12
Control_2_B,vamb_spades_267,2.338189089040247e-13
Control_2_B,vamb_spades_286,0.0
Control_2_B,vamb_spades_298,5.497244457702933e-13
Control_2_B,vamb_spades_812,1.181849530660851e-12
Control_2_B,vamb_spades_857,2.829311077322875e-13
Control_3_B,concoct_megahit_6,3.5007171328901055e-12
Control_3_B,maxbin2_megahit_017,5.4756238426543856e-12
