,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,2.3563162487300264e-11
Control_1_B,maxbin2_spades_001,0.08897971884529675
Control_1_B,maxbin2_spades_006,0.0
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.0
Control_1_B,metabat1_spades_2,1.336390182619113e-11
Control_1_B,metabat2_megahit_14,3.194473001712145e-12
Control_1_B,metabat2_megahit_24,0.0
Control_1_B,metabat2_megahit_33,0.0
Control_1_B,metabat2_spades_15,0.0
Control_1_B,metabat2_spades_18,0.0
Control_1_B,metabat2_spades_25,0.0
Control_1_B,vamb_megahit_295,3.556116931746021e-11
Control_1_B,vamb_megahit_39,5.6103872805017056e-11
Control_1_B,vamb_megahit_488,3.798658719660031e-11
Control_1_B,vamb_megahit_77,5.575235143457994e-11
Control_1_B,vamb_spades_1,0.0
Control_1_B,vamb_spades_1056,3.057586369981473e-11
Control_1_B,vamb_spades_108,0.0
Control_1_B,vamb_spades_21,3.617105655102089e-12
Control_1_B,vamb_spades_222,1.3941510923038502e-11
Control_1_B,vamb_spades_267,3.071717607379337e-11
Control_1_B,vamb_spades_286,0.0
Control_1_B,vamb_spades_298,6.513715543904604e-12
Control_1_B,vamb_spades_6,1.5323470692114633e-12
Control_1_B,vamb_spades_812,2.2599685961338607e-11
Control_1_B,vamb_spades_857,2.794224990798203e-11
Control_2_B,concoct_megahit_6,1.2356142257997512e-12
Control_2_B,maxbin2_megahit_017,5.60347611193433e-13
Control_2_B,maxbin2_spades_001,0.07331757973288085
Control_2_B,maxbin2_spades_006,0.0
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0
Control_2_B,metabat1_spades_2,0.002360702919082995
Control_2_B,metabat2_megahit_24,0.0
Control_2_B,metabat2_megahit_33,0.0
Control_2_B,metabat2_spades_15,3.316311310763394e-13
Control_2_B,metabat2_spades_18,0.0
Control_2_B,metabat2_spades_25,0.0
Control_2_B,vamb_megahit_295,4.34828585715171e-13
Control_2_B,vamb_megahit_488,1.1895976972896841e-12
Control_2_B,vamb_megahit_77,1.5365338056898033e-11
Control_2_B,vamb_spades_1,0.0
Control_2_B,vamb_spades_1056,1.2933926051436012e-12
Control_2_B,vamb_spades_108,1.9660224639952041e-13
