,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,0.028173348260102503
Control_1_B,maxbin2_spades_001,0.022167005723916642
Control_1_B,maxbin2_spades_006,0.39789886715978895
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.12273024923475452
Control_1_B,metabat1_spades_2,0.010578013159685625
Control_1_B,metabat2_megahit_14,0.022429350058299893
Control_1_B,metabat2_megahit_24,0.7815632445907986
Control_1_B,metabat2_megahit_33,0.3922687079126272
Control_1_B,metabat2_spades_15,1.4470339756638289
Control_1_B,metabat2_spades_18,0.13663040600069748
Control_1_B,metabat2_spades_25,1.13334916930548
Control_1_B,vamb_megahit_295,0.03984077353966124
Control_1_B,vamb_megahit_39,0.019630947620860605
Control_1_B,vamb_megahit_488,0.011187340998330164
Control_1_B,vamb_megahit_77,0.010616591709991042
Control_1_B,vamb_spades_1,0.12644125374360113
Control_1_B,vamb_spades_1056,0.016472511663792058
Control_1_B,vamb_spades_108,0.09580702308204907
Control_1_B,vamb_spades_21,0.013749254063728573
Control_1_B,vamb_spades_222,0.031256974962277466
Control_1_B,vamb_spades_267,0.034523425027149245
Control_1_B,vamb_spades_286,0.14710191018591967
Control_1_B,vamb_spades_298,0.029804532503628554
Control_1_B,vamb_spades_6,0.008890929122892582
Control_1_B,vamb_spades_812,0.02327207635405234
Control_1_B,vamb_spades_857,0.03442227764053755
Control_2_B,concoct_megahit_6,0.014838030687450472
Control_2_B,maxbin2_megahit_017,0.027214898846885174
Control_2_B,maxbin2_spades_001,0.033992125806863574
Control_2_B,maxbin2_spades_006,0.1432668181445832
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.3035890980594227
Control_2_B,metabat1_spades_2,0.01139037837775894
Control_2_B,metabat2_megahit_24,0.14780620075681658
Control_2_B,metabat2_megahit_33,0.44198891722110945
Control_2_B,metabat2_spades_15,1.3605791505617997
Control_2_B,metabat2_spades_18,0.5238281017622326
Control_2_B,metabat2_spades_25,0.3015650692731685
Control_2_B,vamb_megahit_295,0.028239193514138585
Control_2_B,vamb_megahit_488,0.019642808778417422
Control_2_B,vamb_megahit_77,0.014079415355236128
Control_2_B,vamb_spades_1,0.1616564318086109
Control_2_B,vamb_spades_1056,0.01768005585973971
Control_2_B,vamb_spades_108,0.05907731394945595
Control_2_B,vamb_spades_21,0.026462731356072185
Control_2_B,vamb_spades_222,0.018842417795254626
Control_2_B,vamb_spades_267,0.05993897568710502
Control_2_B,vamb_spades_286,0.22523375134291823
Control_2_B,vamb_spades_298,0.028197305096864227
Control_2_B,vamb_spades_812,0.023003068870261094
Control_2_B,vamb_spades_857,0.04680556778046877
Control_3_B,concoct_megahit_6,0.09396314509710074
Control_3_B,maxbin2_megahit_017,0.02272926343635849
Control_3_B,maxbin2_spades_001,0.013241798467672409
Control_3_B,maxbin2_spades_006,0.1182130750074999
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.35827034949253317
Control_3_B,metabat1_spades_2,0.013284885923997208
Control_3_B,metabat2_megahit_24,0.15718370193527928
Control_3_B,metabat2_megahit_33,0.3500244765348303
Control_3_B,metabat2_spades_15,1.9857361048564106
Control_3_B,metabat2_spades_18,0.4292269946373457
Control_3_B,metabat2_spades_25,1.1958323689560986
Control_3_B,vamb_megahit_295,0.0547868289059417
Control_3_B,vamb_megahit_488,0.014499642863299005
Control_3_B,vamb_megahit_77,0.014791412176968347
Control_3_B,vamb_spades_1,0.19846178342798196
Control_3_B,vamb_spades_1056,0.023312522942738854
Control_3_B,vamb_spades_108,0.04318806071769945
Control_3_B,vamb_spades_21,0.015759409860916954
Control_3_B,vamb_spades_222,0.03194775597695259
Control_3_B,vamb_spades_267,0.052629669812073954
Control_3_B,vamb_spades_286,0.30869339153789277
Control_3_B,vamb_spades_298,0.06992189922976469
Control_3_B,vamb_spades_812,0.027280129885013632
Control_3_B,vamb_spades_857,0.06373083959671262
AA_1_B,concoct_megahit_6,0.010799040538225651
