,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,0.0
Control_1_B,maxbin2_spades_001,0.2260933925048828
Control_1_B,maxbin2_spades_006,0.0
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.0
Control_1_B,metabat1_spades_2,0.0
Control_1_B,metabat2_megahit_14,0.0
Control_1_B,metabat2_megahit_24,0.0
Control_1_B,metabat2_megahit_33,0.0
Control_1_B,metabat2_spades_15,0.0
Control_1_B,metabat2_spades_18,0.0
Control_1_B,metabat2_spades_25,0.0
Control_1_B,vamb_megahit_295,0.0
Control_1_B,vamb_megahit_39,0.0
Control_1_B,vamb_megahit_488,0.0
Control_1_B,vamb_megahit_77,0.0
Control_1_B,vamb_spades_1,0.0
Control_1_B,vamb_spades_1056,0.0
Control_1_B,vamb_spades_108,0.0
Control_1_B,vamb_spades_21,0.0
Control_1_B,vamb_spades_222,0.0
Control_1_B,vamb_spades_267,0.0
Control_1_B,vamb_spades_286,0.0
Control_1_B,vamb_spades_298,0.0
Control_1_B,vamb_spades_6,0.0
Control_1_B,vamb_spades_812,0.0
Control_1_B,vamb_spades_857,0.0
Control_2_B,concoct_megahit_6,1.5922735451636427e-11
Control_2_B,maxbin2_megahit_017,0.0
Control_2_B,maxbin2_spades_001,0.12797752759487635
Control_2_B,maxbin2_spades_006,0.0
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0
Control_2_B,metabat1_spades_2,4.1541226126868196e-11
Control_2_B,metabat2_megahit_24,0.0
Control_2_B,metabat2_megahit_33,0.0
Control_2_B,metabat2_spades_15,0.012001702875435602
Control_2_B,metabat2_spades_18,0.0
Control_2_B,metabat2_spades_25,0.0
Control_2_B,vamb_megahit_295,0.0
Control_2_B,vamb_megahit_488,8.895534436338831e-11
Control_2_B,vamb_megahit_77,3.934352201567764e-11
Control_2_B,vamb_spades_1,0.0
Control_2_B,vamb_spades_1056,3.536304954215131e-11
Control_2_B,vamb_spades_108,0.0
Control_2_B,vamb_spades_21,0.0
Control_2_B,vamb_spades_222,5.447794948087327e-11
Control_2_B,vamb_spades_267,0.0
Control_2_B,vamb_spades_286,0.0
Control_2_B,vamb_spades_298,0.0
Control_2_B,vamb_spades_812,2.091482451056869e-11
Control_2_B,vamb_spades_857,0.0
Control_3_B,concoct_megahit_6,0.005035337006522997
Control_3_B,maxbin2_megahit_017,0.005021127208453749
Control_3_B,maxbin2_spades_001,0.1814563928262946
Control_3_B,maxbin2_spades_006,0.0021039466657235524
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.0027827922759419465
Control_3_B,metabat1_spades_2,0.007863203206669896
Control_3_B,metabat2_megahit_24,0.0034784148405716834
Control_3_B,metabat2_megahit_33,0.0042587003542301225
Control_3_B,metabat2_spades_15,0.006286844309598443
Control_3_B,metabat2_spades_18,0.004186447567407142
Control_3_B,metabat2_spades_25,0.003508385883353743
Control_3_B,vamb_megahit_295,0.0024842782129273562
Control_3_B,vamb_megahit_488,0.0018486805476325228
Control_3_B,vamb_megahit_77,0.006811304015702335
Control_3_B,vamb_spades_1,0.0034014464198487337
Control_3_B,vamb_spades_1056,0.0057408514701089925
Control_3_B,vamb_spades_108,0.005046012018731317
Control_3_B,vamb_spades_21,0.00714246628816867
Control_3_B,vamb_spades_222,0.0006865639594555745
Control_3_B,vamb_spades_267,0.0031175544329070147
Control_3_B,vamb_spades_286,0.003935479673945486
Control_3_B,vamb_spades_298,0.00394213330214987
Control_3_B,vamb_spades_812,0.004933650416284449
Control_3_B,vamb_spades_857,0.004953438537231202
AA_1_B,concoct_megahit_6,0.004510178210705381
AA_1_B,maxbin2_megahit_017,0.003788776999470268
AA_1_B,maxbin2_spades_001,0.23664831244481288
AA_1_B,maxbin2_spades_006,0.0019942833778653925
AA_1_B,medium,
AA_1_B,metabat1_megahit_20,0.0024766892934567635
AA_1_B,metabat1_spades_2,0.007176466657643038
AA_1_B,metabat2_megahit_14,0.0010818714889320289
AA_1_B,metabat2_megahit_24,0.004553305183726385
AA_1_B,metabat2_megahit_33,0.004432465906247708
AA_1_B,metabat2_spades_15,0.009836143870891299
AA_1_B,metabat2_spades_18,0.0038567909417604506
