,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,11.154690334190743,11.660961813284718,12.214253448035485,10.312761633414333,10.953342696406926,11.464471901413841,12.579990044073476,12.958449553603042
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0005563954646113799,3.748042115465003e-10
EX_cpd00075_m,-0.0009992826175481816,-0.0009999999689196246,-0.0009999999982337516,-0.000999999887419734,-0.0009999999292668303,-0.0009948436016937433,-0.0009025823571223104,-0.0009999998747410228
EX_cpd00009_m,-0.08204026750251991,-0.6229897367505135,-0.622981200312055,-0.581264183592715,-0.23329846024724432,-0.07711421622169788,-1.0908760237536015,-0.5507120086846744
EX_cpd00023_m,-0.0004295778990769375,-0.0004686319696276235,-0.0005028144398249119,-0.0003732694520555836,-0.00038304478691866887,-0.0015563398246565127,-0.0007060178484295071,-0.0006779328665511465
EX_cpd00027_m,-0.0009966385188109352,-0.0009815333093439352,-0.0009794114745890383,-0.0009776785589310096,-0.0009537931790822331,-0.001869527711093379,-0.0009811027417596942,-0.0009832378495524
EX_cpd00030_m,-0.0004605794809461057,-0.0004116632899839868,-0.00048201788424041836,-0.000399447769242077,-0.0004560906603853055,-0.00041461753519148536,-0.00028353533193364617,-0.00043548116882231815
EX_cpd00034_m,-0.00046074466600993407,-0.0004114567536559452,-0.00048198576037044737,-0.00039942768665134564,-0.0004549890043076154,-0.0004146922912106031,-0.0002835637359498728,-0.0004354737737965605
EX_cpd00039_m,-0.00027504989407534764,-0.00025376926066203703,-0.00026887914932569067,-0.00022029312635845255,-0.0002447640682987695,-0.000628704986512466,-0.00029351926242001677,-0.00029868999250353773
EX_cpd00041_m,-0.00030987189345152444,-0.00030382743390649694,-0.0003589837685279997,-0.0005534315308327801,-0.0006002405175987694,-0.0021540844753658896,-0.0007583249630494249,-0.0007180449531537421
EX_cpd00048_m,-0.1645948012944911,-0.016602859256312524,-0.017560410471139258,-0.018197002804387314,-0.09899251435287885,-0.194175271830342,-0.0416197825417709,-0.019654404103025165
EX_cpd00051_m,-0.0003302711177003561,-0.00022516757848840732,-0.00029558279379964355,-0.00021205781477839585,-0.0002480056810822088,-0.0013269599389985735,-0.00035832337508415863,-0.0002962871348614609
EX_cpd00053_m,-0.00012137822829769217,-4.362039565949511e-05,-5.478222516383022e-05,-3.71437475620211e-05,-4.154204913278441e-05,-0.00017615195340060905,1.8980947571055172e-06,6.250634129055872e-11
EX_cpd00064_m,-6.255335048384267e-05,-5.221103733127769e-05,-5.950519812957751e-05,-4.395509764293626e-05,-4.749656007568749e-05,-0.0012323639680973909,-5.073132325788518e-05,-5.204735762108171e-05
EX_cpd00098_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_cpd00105_m,-0.0009978012828991557,-0.0006197565644457683,-0.0005025857737215884,-0.000509300303591967,-0.0005741848410343685,-0.0009857972355807913,-0.0005592331222857043,-0.0004973535754339065
EX_cpd00107_m,-0.0006641752139436048,-0.0005851321831075157,-0.000692280316347751,-0.000852981229330271,-0.0009786972947370728,-0.001154976537683449,-0.0012327602210767188,-0.0011143170101431236
EX_cpd00108_m,-0.0009995061081181315,-0.0006382935105369327,-0.0005096671523596938,-0.000511797311414619,-0.0005121826638828279,-0.0009759682427321484,-0.000563066459816893,-0.0004980328224862031
EX_cpd00118_m,-0.000994480218902553,-0.001001602518252911,-0.0009999882705335836,-0.0010003588519711228,-0.0009996481865721775,-0.0011256605937344484,0.0023902607205905386,-0.0010002101359821002
EX_cpd00119_m,-5.6884723835958036e-05,-3.698311045495487e-05,-5.2141746109684304e-05,-3.512218855313728e-05,-3.879916991871659e-05,-0.0005383223029780669,-6.819964106755276e-05,-5.594531068156573e-05
EX_cpd00129_m,-0.00025901227954047435,-0.00018890181831694657,-0.00023998346974547042,-0.00016742553784896184,-0.00017595281071015772,-0.0004904661839286857,-0.00027550330054098876,-0.0002606525481474423
EX_cpd00149_m,-0.00045813506028568327,-0.00041078866461564137,-0.00048199058634495876,-0.0004136538316148514,-0.00045377065143886145,-0.00041451103886136037,-0.00028352669321323116,-0.0004657835325765861
EX_cpd00154_m,-0.0009995996776992378,-0.0008165098175418346,-0.0008074105678086133,-0.000782636322029317,-0.0008562440783498396,-0.0010037001746280852,-0.0008713629726411654,-0.0008562207588458239
EX_cpd00156_m,-0.0005003128565828058,-0.0005053360284754094,-0.0005952207898985648,-0.0009414390892395566,-0.0010870757283337046,-0.0014140287226216074,-0.0012750862456499424,-0.0012238646667026378
EX_cpd00161_m,-0.00033276345443487875,-0.0002903637001876831,-0.00035656256514464613,-0.0002563015795114816,-0.0003101741101883259,-0.0007752516516108161,-0.0004183088101197169,-0.0003828819276792338
EX_cpd00179_m,-0.0009968266008619912,-0.0009637195316769746,-0.0009221382663462865,-0.0007933238448411253,-0.0009036276025081814,-0.001046045730508533,-0.0007993329551987689,-0.0007182857505035108
EX_cpd00209_m,-0.0009996558815002492,-0.0008434105852262224,-0.0009176764850629909,-0.0009526114316086676,-0.0008354531033338743,-0.0010064800898216212,-0.0004574989495615814,-0.000950711282671013
EX_cpd00210_m,-0.0009994293584785837,-0.0010000009156143402,-0.0010000000334917636,-0.000999999578564352,-0.0010000003195696084,-0.001008657737429095,-0.0008947358202238328,-0.0009999997214185999
EX_cpd00224_m,-0.000999615376139522,-0.0008417412258182688,-0.0008314868892430123,-0.0007992786288446429,-0.0008045067241553943,-0.0010044084033886999,-0.0008431864545437556,-0.0007969762303476697
EX_cpd00244_m,-2.117840564434978e-08,-2.866486009225501e-06,-8.531882187758678e-06,-3.5396940020854814e-05,3.700136904265906e-07,-8.191873869991311e-07,-5.5970828756661985e-05,-2.5496159617261623e-07
EX_cpd00264_m,-0.0003042729643829083,-0.00027842067041670363,-0.0003330308971540431,-0.00027631455846473745,-0.00031449837728819013,-0.00028977718328335747,0.006110096750030241,-0.0002965212385964912
