,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,11.033857140694796,11.69705507229892,12.195748547588408,9.71869400373982,10.775065884209578,11.574973896224968,11.550811893259006,12.898892206142865
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0007868269636626807,0.0007826853639613645
EX_cpd00075_m,-0.0009602115303821389,-0.0009223596177063886,-0.0005935215741502944,-0.0008038322865989139,-0.000717126559644025,-0.0007257111792313231,-0.0008776972643498911,-0.0008677179202367543
EX_cpd00009_m,-0.050898268445081385,-0.8020192813371537,-0.813654889699292,-0.41344571798631313,-0.21392787775535738,-0.050472496680720444,-0.47151891096525067,-0.6967556039082047
EX_cpd00023_m,-0.0003962431246549722,-0.0004583468923794964,-0.0004915421925407429,-0.0003659739017290339,-0.00037566842338537126,-0.0005035039377941007,-0.0007116179915109907,-0.0006650407905785569
EX_cpd00027_m,-0.0009860038228139275,-0.0009827153065382452,-0.0009769873132415027,-0.0009784729625579571,-0.0009751849436920576,-0.0009692249246699822,-0.0009797712646403118,-0.0009790336459572625
EX_cpd00030_m,-1.649183176682353e-10,-7.539655006049056e-15,1.8384078073790977e-14,2.2060184002335484e-13,-3.0503179717388226e-10,-2.40862028604709e-05,8.640558620541845e-14,-2.248791770606961e-11
EX_cpd00034_m,-5.659656705475547e-10,5.784509017918313e-17,-1.3024746526882325e-14,-9.028080273334004e-17,2.824896581537415e-09,-1.969902248781563e-05,6.332735589841546e-08,3.0726670338996505e-13
EX_cpd00039_m,-0.0002683823076128822,-0.0002486994794407695,-0.0002610537384790778,-0.000215655259866025,-0.00023991972523597339,-0.0002496425875302437,-0.00029548127659892275,-0.00029236789084930917
EX_cpd00041_m,-0.00029929334590196957,-0.0002979369625785782,-0.000351945664200522,-0.0005424355082712993,-0.00058882358611493,-0.000654414745198127,-0.0007625257267459985,-0.0007043714140700557
EX_cpd00048_m,-0.11590026621196384,-0.017155078156615423,-0.02336209073567193,-0.022942663011931645,-0.09082052956548407,-0.249016549455103,-0.08223486784367645,-0.023880535797170133
EX_cpd00051_m,-0.0002706125177034603,-0.0002197257483729336,-0.00029042877490935686,-0.00020784646743986918,-0.00024334376318371336,-0.000276946463003024,-0.00035924017799819516,-0.0002907446392668915
EX_cpd00053_m,-4.662389574485718e-05,-4.275283458125991e-05,-5.390420794997577e-05,-3.6429821006465056e-05,-4.075227391141578e-05,-5.3886242509400025e-05,1.6915910011750797e-06,7.64909997838538e-07
