,compartments,0
Control_1_B,maxbin2_megahit_017,7.455868799031886e-13
Control_1_B,maxbin2_spades_001,0.07294323119274362
Control_1_B,maxbin2_spades_006,0.0
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,2.550439721517149e-13
Control_1_B,metabat1_spades_2,2.4811599456162944e-12
Control_1_B,metabat2_megahit_14,1.2790438143096262e-12
Control_1_B,metabat2_megahit_24,0.0
Control_1_B,metabat2_megahit_33,0.0
Control_1_B,metabat2_spades_15,0.0
Control_1_B,metabat2_spades_18,2.887333248883786e-13
Control_1_B,metabat2_spades_25,0.0
Control_1_B,vamb_megahit_295,6.858066630751933e-13
Control_1_B,vamb_megahit_39,1.5572602204230207e-12
Control_1_B,vamb_megahit_488,2.75969705856757e-12
Control_1_B,vamb_megahit_77,3.147950195512612e-12
Control_1_B,vamb_spades_1,2.0281538393826207e-13
Control_1_B,vamb_spades_1056,1.4912969891925555e-12
Control_1_B,vamb_spades_108,2.4358325011401195e-13
Control_1_B,vamb_spades_21,1.5706528219058368e-12
Control_1_B,vamb_spades_222,8.87499286128163e-13
Control_1_B,vamb_spades_267,6.218063005165733e-13
Control_1_B,vamb_spades_286,2.7750594797955575e-13
Control_1_B,vamb_spades_298,6.320561086127849e-13
Control_1_B,vamb_spades_6,3.915730017142252e-12
Control_1_B,vamb_spades_812,1.463957532946142e-12
Control_1_B,vamb_spades_857,3.933777712238541e-13
Control_2_B,concoct_megahit_6,3.405916098120326e-12
Control_2_B,maxbin2_megahit_017,1.0339610897542285e-12
Control_2_B,maxbin2_spades_001,0.02982429422980705
Control_2_B,maxbin2_spades_006,0.0
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0
Control_2_B,metabat1_spades_2,0.0008363583625068795
Control_2_B,metabat2_megahit_24,0.0
Control_2_B,metabat2_megahit_33,0.0
Control_2_B,metabat2_spades_15,0.0
Control_2_B,metabat2_spades_18,0.0
Control_2_B,metabat2_spades_25,0.0
Control_2_B,vamb_megahit_295,9.782784791342043e-13
Control_2_B,vamb_megahit_488,2.474782632888639e-12
Control_2_B,vamb_megahit_77,1.0402126664260309e-11
Control_2_B,vamb_spades_1,0.0
Control_2_B,vamb_spades_1056,1.6884035852391492e-12
Control_2_B,vamb_spades_108,5.139219086421316e-13
Control_2_B,vamb_spades_21,1.1438187768040365e-12
Control_2_B,vamb_spades_222,3.449469416712279e-12
Control_2_B,vamb_spades_267,3.2270339223785423e-13
Control_2_B,vamb_spades_286,0.0
Control_2_B,vamb_spades_298,1.0410204989554664e-12
Control_2_B,vamb_spades_812,2.101544091144778e-12
Control_2_B,vamb_spades_857,3.3045745414494286e-13
Control_3_B,concoct_megahit_6,7.237659129295001e-08
Control_3_B,maxbin2_megahit_017,0.0014709182153264827
Control_3_B,maxbin2_spades_001,0.0025800052436581724
Control_3_B,maxbin2_spades_006,6.30976109940904e-08
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,1.7536179237285775e-08
Control_3_B,metabat1_spades_2,0.005804408720303396
Control_3_B,metabat2_megahit_24,4.6848061134139837e-08
Control_3_B,metabat2_megahit_33,1.859807774012049e-08
Control_3_B,metabat2_spades_15,1.7261996806107656e-07
Control_3_B,metabat2_spades_18,2.1182626371442124e-08
Control_3_B,metabat2_spades_25,1.029592594187339e-07
Control_3_B,vamb_megahit_295,3.0413826008530533e-07
Control_3_B,vamb_megahit_488,0.004109582204770105
Control_3_B,vamb_megahit_77,0.0028761589810435977
Control_3_B,vamb_spades_1,4.933880174956347e-08
Control_3_B,vamb_spades_1056,8.041430906337155e-07
Control_3_B,vamb_spades_108,4.1599483466560587e-07
Control_3_B,vamb_spades_21,0.004450151384273798
Control_3_B,vamb_spades_222,0.0007792865355725262
Control_3_B,vamb_spades_267,2.2728408835526186e-07
Control_3_B,vamb_spades_286,3.79398191587712e-08
