,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,10.198906406790018,11.645630879877487,11.891555641399298,9.959513500054799,10.513197747451638,,12.08443725659085,12.203245559795661
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,,0.0008108945664177568,0.0006860962791979203
EX_cpd00075_m,0.0009855732961502556,-0.0008004244500711363,-0.0006644240659360969,-0.0006930081374850658,-0.0007163119416702729,,-0.0008713158535556332,-0.0008300162365115534
EX_cpd00009_m,-0.01238512585842946,-0.5278381959046868,-0.03532740069123688,-0.2958459109657536,-0.16394533602853956,,-0.5245147437135743,-0.33228496766068105
EX_cpd00023_m,-0.003330062316988304,-0.00045974515473586844,-0.0004929773825133903,-0.00036595262595047506,-0.000375546058724327,,-0.0007122692966184834,-0.004280631629792754
EX_cpd00027_m,-0.004280753350384208,-0.000979396727562108,-0.0009760104615792909,-0.0009678170717234764,-0.0009782484202032502,,-0.000979693470601996,-0.002898828539031713
EX_cpd00030_m,-2.1418385103556348e-05,1.059035253635323e-11,3.957443489771714e-11,-1.4526444754096312e-12,3.6738920320815375e-14,,-3.9551718740295356e-11,-4.1740777395300867e-05
EX_cpd00034_m,-2.1912013705782057e-05,-1.5371340442905697e-15,-8.166693525865027e-15,-7.863603361044888e-16,3.052051381356229e-16,,1.276078832304668e-13,-4.173127425620759e-05
EX_cpd00039_m,-0.0010487660200808363,-0.000248429255281419,-0.00026287434382143163,-0.00021593030617500655,-0.0002399307097884878,,-0.0002958739523965325,-0.0006813082604009201
EX_cpd00041_m,-0.004819914943698581,-0.00029828696202785287,-0.0003522145926152064,-0.0005426261830479109,-0.0005885641465161362,,-0.0007622340523225232,-0.008457469567615611
EX_cpd00048_m,-0.07542695478470214,-0.05216505026903253,-0.11586439174357352,-0.048324821752120516,-0.06941179229023955,,-0.07646045719120718,-0.024562665729508156
EX_cpd00051_m,-0.0011795368749144561,-0.00022067953638639645,-0.00029015980404843104,-0.0002078975538546135,-0.00024329825875599328,,-0.00035997849811720975,-0.0010611368513624765
EX_cpd00053_m,-0.0004773464787722316,-4.274840663570445e-05,-5.3702476465077775e-05,-3.644313565090189e-05,-4.082688168219642e-05,,1.354743838841694e-06,8.605245579294515e-07
EX_cpd00064_m,-0.0036272271667105627,-5.116237801061684e-05,-5.834077684552748e-05,-4.3107959383430825e-05,-4.657400726749539e-05,,-5.106535981595975e-05,-0.012932622271745388
EX_cpd00098_m,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,-0.0
