,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,0.0014418359159079585
Control_1_B,maxbin2_spades_001,0.05251445307887733
Control_1_B,maxbin2_spades_006,3.7074908892933675e-11
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.0
Control_1_B,metabat1_spades_2,0.004864230371033908
Control_1_B,metabat2_megahit_14,0.0017388781788336342
Control_1_B,metabat2_megahit_24,0.0
Control_1_B,metabat2_megahit_33,0.0
Control_1_B,metabat2_spades_15,0.0
Control_1_B,metabat2_spades_18,0.0
Control_1_B,metabat2_spades_25,0.0
Control_1_B,vamb_megahit_295,0.0009931611021209122
Control_1_B,vamb_megahit_39,0.00331741517705369
Control_1_B,vamb_megahit_488,0.004638936841266822
Control_1_B,vamb_megahit_77,0.004348340831801272
Control_1_B,vamb_spades_1,0.0
Control_1_B,vamb_spades_1056,0.0007902437099325164
Control_1_B,vamb_spades_108,1.101127559273752e-13
Control_1_B,vamb_spades_21,0.004509195949991895
Control_1_B,vamb_spades_222,0.0012883814646080381
Control_1_B,vamb_spades_267,1.3196750881393558e-12
Control_1_B,vamb_spades_286,0.0
Control_1_B,vamb_spades_298,0.001531795765990773
Control_1_B,vamb_spades_6,0.003547073447921945
Control_1_B,vamb_spades_812,0.001816681166900397
Control_1_B,vamb_spades_857,1.4361737726320158e-12
Control_2_B,concoct_megahit_6,1.0401104190216631e-12
Control_2_B,maxbin2_megahit_017,5.598969579354767e-13
Control_2_B,maxbin2_spades_001,0.04442217606283774
Control_2_B,maxbin2_spades_006,0.0
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0
Control_2_B,metabat1_spades_2,0.00015815712539643078
Control_2_B,metabat2_megahit_24,0.0
Control_2_B,metabat2_megahit_33,0.0
Control_2_B,metabat2_spades_15,0.0
Control_2_B,metabat2_spades_18,0.0
Control_2_B,metabat2_spades_25,0.0
Control_2_B,vamb_megahit_295,6.884373033895779e-13
Control_2_B,vamb_megahit_488,1.2761050511160208e-12
Control_2_B,vamb_megahit_77,2.038262943799913e-12
Control_2_B,vamb_spades_1,0.0
Control_2_B,vamb_spades_1056,7.26948609798334e-13
Control_2_B,vamb_spades_108,0.0
Control_2_B,vamb_spades_21,4.0651319437117516e-13
Control_2_B,vamb_spades_222,6.426169065663769e-13
Control_2_B,vamb_spades_267,0.0
Control_2_B,vamb_spades_286,0.0
Control_2_B,vamb_spades_298,5.661858405534202e-13
Control_2_B,vamb_spades_812,5.256431831069329e-13
Control_2_B,vamb_spades_857,0.0
Control_3_B,concoct_megahit_6,4.133285221307731e-13
Control_3_B,maxbin2_megahit_017,1.6512163497593723e-12
Control_3_B,maxbin2_spades_001,0.0011682117220262116
Control_3_B,maxbin2_spades_006,2.176684615840805e-13
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.0
Control_3_B,metabat1_spades_2,3.797111342640378e-12
Control_3_B,metabat2_megahit_24,3.259703672929531e-13
Control_3_B,metabat2_megahit_33,0.0
Control_3_B,metabat2_spades_15,0.0
Control_3_B,metabat2_spades_18,0.0
Control_3_B,metabat2_spades_25,0.0
Control_3_B,vamb_megahit_295,6.148135693595897e-13
Control_3_B,vamb_megahit_488,2.9228131767189e-12
Control_3_B,vamb_megahit_77,3.16545843604272e-12
Control_3_B,vamb_spades_1,2.593221921294903e-13
Control_3_B,vamb_spades_1056,1.8069806641070015e-12
Control_3_B,vamb_spades_108,7.815243894241041e-13
Control_3_B,vamb_spades_21,2.8413526058757887e-12
Control_3_B,vamb_spades_222,1.3119503707314377e-12
Control_3_B,vamb_spades_267,6.005261809840232e-13
Control_3_B,vamb_spades_286,0.0
Control_3_B,vamb_spades_298,4.5352360845499187e-13
Control_3_B,vamb_spades_812,1.935200472362295e-12
Control_3_B,vamb_spades_857,4.584816593473872e-13
AA_1_B,concoct_megahit_6,0.00010842376529557564
AA_1_B,maxbin2_megahit_017,0.0
AA_1_B,maxbin2_spades_001,0.05773322823448411
AA_1_B,maxbin2_spades_006,0.0
AA_1_B,medium,
AA_1_B,metabat1_megahit_20,0.0
AA_1_B,metabat1_spades_2,0.0018596015903958093
AA_1_B,metabat2_megahit_14,2.0447933988576387e-12
AA_1_B,metabat2_megahit_24,0.0
AA_1_B,metabat2_megahit_33,0.0
AA_1_B,metabat2_spades_15,0.0
AA_1_B,metabat2_spades_18,0.0
AA_1_B,metabat2_spades_25,0.0
AA_1_B,vamb_megahit_295,1.8084081539407413e-12
AA_1_B,vamb_megahit_488,7.878832733223722e-13
AA_1_B,vamb_megahit_77,0.001505325486063196
AA_1_B,vamb_spades_1,2.2706585357310734e-12
AA_1_B,vamb_spades_1056,9.133866794064415e-13
AA_1_B,vamb_spades_108,0.0
AA_1_B,vamb_spades_21,2.5876420041397886e-12
AA_1_B,vamb_spades_222,4.8455632752814854e-12
AA_1_B,vamb_spades_267,0.0
AA_1_B,vamb_spades_286,0.0
AA_1_B,vamb_spades_6,0.0023104406638282363
AA_1_B,vamb_spades_812,5.9814050078885065e-12
AA_1_B,vamb_spades_857,0.0
AA_2_B,maxbin2_megahit_017,4.0399132455881086e-13
AA_2_B,maxbin2_spades_001,0.043675705455403634
AA_2_B,maxbin2_spades_006,2.309142217800973e-13
AA_2_B,medium,
AA_2_B,metabat1_megahit_20,0.0
AA_2_B,metabat2_megahit_24,0.0
AA_2_B,metabat2_megahit_33,0.0
AA_2_B,metabat2_spades_15,3.262699023803548e-11
AA_2_B,metabat2_spades_18,0.0
AA_2_B,metabat2_spades_25,0.0
AA_2_B,vamb_megahit_295,7.445524481400987e-13
AA_2_B,vamb_megahit_39,2.354487014345691e-13
AA_2_B,vamb_megahit_488,2.123690594122325e-12
AA_2_B,vamb_spades_1,4.642788412651378e-13
AA_2_B,vamb_spades_1056,2.31236238234922e-13
AA_2_B,vamb_spades_108,0.0
AA_2_B,vamb_spades_21,2.702805807713448e-12
AA_2_B,vamb_spades_222,6.173019605280137e-05
AA_2_B,vamb_spades_267,0.0
AA_2_B,vamb_spades_286,0.0
AA_2_B,vamb_spades_812,2.470585588873671e-12
AA_2_B,vamb_spades_857,2.6581761426621116e-13
AA_3_B,maxbin2_megahit_017,6.213077968547997e-12
AA_3_B,maxbin2_spades_001,0.04921557144903508
AA_3_B,maxbin2_spades_006,1.5869953635335379e-12
AA_3_B,medium,
AA_3_B,metabat1_megahit_20,0.0
AA_3_B,metabat1_spades_2,0.003217507749614037
AA_3_B,metabat2_megahit_24,0.0
