	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.spades.15_10_1	41.763257379630936	52.140440752891145	49.74754607672432	36.666004979380034	73.62334668524129	40.70110113086111	38.690897057787836	31.057149149733338	34.09319696728018
metabat2.spades.15_10_10	14.203666240180876	20.39288322361251	15.988567891897318	5.32260060512807	8.87467768778555	10.093436607519124	11.053356542836104	2.520602161067811	13.527595579510633
metabat2.spades.15_10_100	558.5609682873139	522.8038479300708	474.6669646417635	239.64337179058165	297.27508971315405	175.40787049862544	187.4046359308123	186.77067932195035	108.30616612332912
metabat2.spades.15_10_101	162.88249618796442	161.61367128233118	173.70104340808848	102.15775860463765	129.8926834230453	98.69029133429655	75.60877436690798	59.83914968567336	48.98828302094618
metabat2.spades.15_10_102	68.50820052914827	34.21234831667533	15.233041695217663	15.973919747114255	42.80501867513793	34.61932739866341	67.13537723958198	18.01119935015885	86.99643364064598
metabat2.spades.15_10_103	22.923897869368847	33.07193670611949	32.28233066948051	29.77995038569154	39.78671607625012	28.96039888157423	15.857315347991795	27.723392230513717	87.33103530849449
metabat2.spades.15_10_104	242.02308628411197	203.22831334676465	164.39475340926714	187.16660929429582	166.22343288955472	151.95919222306932	137.69233746824938	80.74104441512023	77.03500994133525
metabat2.spades.15_10_105	20.06805874086162	20.043598003708755	16.733265498534543	21.056530575741583	27.167495017722388	27.570884793821886	15.617052994234326	11.079616569946195	38.22570569058687
metabat2.spades.15_10_106	255.60369554149997	163.42565214427486	116.89800564063937	45.859962582254	65.93892009362153	65.4996155991159	61.28095063819435	32.072574281423194	66.39201514680867
metabat2.spades.15_10_107	52.113784502600566	39.23789100726037	25.136362991018967	10.094898435827684	16.030289479632042	20.510694123148827	17.469923688465535	6.829428131319315	36.652250492669175
metabat2.spades.15_10_108	175.73565405754488	97.92249415778397	107.3546485950674	44.36491677570428	56.63494556552253	36.80721086903985	40.307701024224954	50.773470346872436	14.094394276976146
metabat2.spades.15_10_109	349.30821238527153	250.49910868937147	238.06420653887642	193.5356043372174	175.1708048757559	136.55126291872693	139.945948570759	133.3900356449748	161.65012383570783
metabat2.spades.15_10_11	38.29856029581293	29.485823087383615	26.611940310922407	11.003033877444256	10.469179266328917	9.979125397747227	7.451027693634691	11.327525374437268	6.079268856816218
metabat2.spades.15_10_110	117.52533555563708	85.70755428064788	87.41834984107653	59.00065287681596	65.27262941636057	67.87338554780189	60.972494225377005	76.8038128909028	7.106750917123192
metabat2.spades.15_10_111	154.08692627265512	114.60572125883003	63.420732998406265	76.66125841861188	65.54959955532706	65.23258163918943	74.83815494266766	68.26422882416634	49.95834803126205
metabat2.spades.15_10_112	105.06089833153463	39.80211200955303	38.18260232357075	37.79512302779234	33.95365266901	35.01229842903669	42.85292003231918	40.46016904348593	11.041122869053538
metabat2.spades.15_10_113	137.25304423801708	92.5328799031323	94.98945948287272	68.9207832760392	95.40565906781642	72.17591638361245	92.56947474302625	102.29987941784526	39.21600894681969
metabat2.spades.15_10_114	196.88392764683107	107.26033526309008	113.42440505493153	158.2898263743964	150.97445775960858	160.2605857027653	148.57304470190493	215.98835545041848	68.18639393456036
metabat2.spades.15_10_115	367.296066702493	258.46135408984145	222.73523150990533	480.48323311367784	325.11430850878713	256.2630253974591	291.6058130520056	624.1561670603782	169.60649247588094
metabat2.spades.15_10_116	206.95185576513472	75.78985495152361	82.82966421774583	148.89975192845765	163.78864784722984	113.72989977451527	207.57666271503126	117.5230757597868	52.56034532455688
metabat2.spades.15_10_117	13.244918768968667	6.614387341223894	4.417582091613119	27.794620359978804	16.551273887720065	11.294555563813935	6.871503317463133	6.26789737385528	50.4579315115746
metabat2.spades.15_10_12	73.33595962683982	77.68575736336801	71.15568469712416	87.94079308526354	55.54118754268479	55.58841664516936	50.729219122210964	56.78967419264855	84.66095891203781
metabat2.spades.15_10_13	79.99038020584999	39.01745341733202	51.497094607287735	27.883848675741106	41.84310814311245	40.18662091993726	34.74355609953258	34.332583929825276	35.433940668240545
metabat2.spades.15_10_14	530.5088431656792	542.3086395358298	419.19528987619174	276.45186917183156	285.86541593710035	202.41139003250717	269.6880334273155	220.72434300404302	244.1512815076183
metabat2.spades.15_10_15	449.8274298895011	372.31928744625156	313.95394739137316	222.25707206092662	253.73415158061425	232.0474727995325	263.6237121794025	151.76984207133856	95.20364436146143
metabat2.spades.15_10_16	1.0003715082302598	0.9991521663480201	0.6673084730533414	2.399190363399114	0.6250481075422981	0.5687087393662609	1.0379914376832526	0.9468122921231541	7.622044034981058
metabat2.spades.15_10_17	1.936391632890152	1.934031386322776	1.2916906700623159	1.1610117109431404	1.2098884420847993	1.1008338756153937	2.00921149633425	1.832718530367041	14.753781143735264
metabat2.spades.15_10_18	5.017014685215394	5.010899500927192	3.3466530997069093	3.0080757965345	3.1347109635833434	2.852160495912611	5.205684331411464	4.748407101405515	38.22570569058682
metabat2.spades.15_10_19	2.566844722668341	2.563716023730191	1.712241120780279	1.5390155238083487	1.6038056092751989	1.4592449048855218	2.6633733788616794	2.4294175867656125	19.557337795183955
metabat2.spades.15_10_2	34.11569985946465	42.09155580778849	48.19180463577939	31.28398828395879	42.63206910473354	50.19802472806202	29.15183225590404	53.18215953574181	45.870846828704245
metabat2.spades.15_10_20	0.8600596603226389	1.718022686032182	1.7211358798492642	1.5470104096463118	0.5373790223285732	0.977883598598606	0.8924030282419654	1.628025291910459	6.552978118386312
metabat2.spades.15_10_21	1.9140056024521157	1.9116726419722236	1.2767578299459883	1.1475896102385954	1.1959012924653218	1.0881074724290885	1.9859836177639114	1.8115310329061505	14.583217199877053
metabat2.spades.15_10_22	1.7245987980427915	1.7224967034437224	1.1504120030242502	1.0340260550587344	1.0775568937317743	0.98043017046996	1.789453988922691	1.6322649411081458	13.14008633113922
metabat2.spades.15_10_23	1.8602414001360448	1.8579739722539028	1.2408938459587415	1.115353947029646	1.1623085595309026	1.057542655787822	1.9301975610851498	3.5212906594692512	14.173576267296236
metabat2.spades.15_10_24	478.5572839882822	267.95510761892456	216.04233586721094	295.62578485066183	353.37573811372994	259.6923359563066	679.6267879680657	375.1588209168857	349.89076595617513
metabat2.spades.15_10_25	124.46466219066288	112.5853164463643	120.62192235964895	202.75710900896382	184.8812508734688	158.8714080489194	170.5692312845451	271.1643544717541	35.78576702948558
metabat2.spades.15_10_26	46.45250287677853	40.44769237439077	60.38421564075491	62.84497923119557	93.77070637827015	62.973241452919424	67.973504039653	83.42165569519616	27.225502614158994
metabat2.spades.15_10_27	49.05525469988387	45.729097667720744	55.62881152401704	50.981314240525435	79.6913187186521	65.53631006163646	54.29335954538748	75.06000558814345	18.688122782064692
metabat2.spades.15_10_28	4.356881174002842	4.351570619226246	2.9063040076402107	2.612276349622066	8.166746984072411	9.907504880538553	9.04145173350408	12.370850079977545	33.196007573404344
metabat2.spades.15_10_29	41.530677495918646	45.96438660850509	32.195937277858306	55.18544478252441	42.07950988403401	63.81104838312961	68.71503317463107	61.61661825145865	8.552191781622813
metabat2.spades.15_10_3	52.3810346795371	29.895536005531824	46.17246818917665	29.163039925724295	25.715256040242938	24.46090188019962	9.705513160258624	24.78829469886271	28.50730593874275
metabat2.spades.15_10_30	27.030446467282992	42.183592737397284	55.21977614516395	141.80928755091207	67.55621994987771	89.31918940771224	78.8820533892449	86.34348423167994	51.48768521589252
metabat2.spades.15_10_31	28.16936977348871	69.54131153293206	75.51725405406047	98.15114733860887	89.99589132367844	103.9413353117175	64.5237470419893	78.97751907666773	56.69430506918512
metabat2.spades.15_10_32	3.7344695777167165	11.189753020867494	19.928941766675692	14.18092875509123	31.111417082180576	36.799303842000256	23.249447314724815	22.385347763768795	28.453720777203763
metabat2.spades.15_10_33	296.1451907850388	208.44636163364086	220.10136125466784	184.55180520710212	195.96358608260095	168.35781180802465	208.08073426120657	228.42513316690844	71.0675091712318
metabat2.spades.15_10_34	245.60114273584327	164.26458628867286	168.2191856077843	130.16402155335385	123.31247101778189	107.2110130781457	141.070597908183	234.52728584292936	33.41584868316203
metabat2.spades.15_10_35	193.88505429001708	213.4802263569618	208.8028219668989	125.35240726722577	147.0494571594174	128.15104196449678	147.24649965992356	191.24272410528454	57.844189563533455
metabat2.spades.15_10_36	150.1604162760977	145.36269854550156	160.2657689050341	78.95149637136821	99.59632833598991	117.76106382426201	97.4794656663372	101.30671336812635	58.672013385551864
metabat2.spades.15_10_37	426.2732477369221	217.9453300173397	185.33534062514815	110.29611253959834	148.23219430094125	125.49506182015493	161.91473334252106	174.10826038486846	57.9976224270972
metabat2.spades.15_10_38	6.1974887287954905	5.305658295099384	12.402302663619697	16.455944063394654	9.40413289075	16.6096405350205	9.18650176131435	8.379541943656792	20.237138306781286
metabat2.spades.15_10_39	4.371260319791628	3.274449178823707	5.831791540083323	9.173142032996292	7.510891615714544	11.803990963281848	10.205202946727383	6.205838984015126	16.652782677087348
metabat2.spades.15_10_4	7.612022281016475	11.40411610555843	5.077680565072567	11.409942676510152	7.134169779189693	4.327415924832912	7.898279675244942	14.408959480127088	28.998811213548624
metabat2.spades.15_10_40	2.8919036613468703	1.4441893758130773	3.8581502983520672	1.7339126862120233	3.613815259327525	3.28808022236214	6.001312941015809	8.211219267059317	11.017015613880918
