,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.spades.1056_10_1,0.302492304444396,0.963782309462544,4.53355414258449,0.0835508516165217,0.933413544958496,1
vamb.spades.1056_11_1,0.297106940796006,-1.52605127532596,4.54017844728834,-0.207271869652614,0.83579754186206,1
vamb.spades.1056_11_10,0.308928785114841,-0.39556040740077,4.50758664338757,0,1,1
vamb.spades.1056_11_11,0.77051295119212,1.27855865855211,2.88910479498791,0.240060055888353,0.810283699619636,1
vamb.spades.1056_11_2,1.33308543985767,-3.24524673987132,2.69637305687903,-0.98660188473715,0.323837845916592,1
vamb.spades.1056_11_4,0.17299501742233,0,4.56215292158991,0,1,1
vamb.spades.1056_11_5,1.00677532825264,-0.428934620799388,2.91302811717379,0,1,1
vamb.spades.1056_11_6,0.17299501742233,0,4.56215292158991,0,1,1
vamb.spades.1056_11_7,0.29300988773456,-1.20838638472397,4.54813140374902,-0.137064286271526,0.890979981419548,1
vamb.spades.1056_11_8,0.584268153496017,-1.21344391114182,3.67992089578767,-0.170776472902227,0.864399529193379,1
vamb.spades.1056_12_10,0.540069918144706,-2.49018868082323,3.46453990851107,-0.549911021703892,0.582380404189721,1
vamb.spades.1056_12_12,2.30587055760886,0.598138180453152,2.0899815143194,0.00628626634404949,0.994984318173247,1
vamb.spades.1056_12_13,0.42331350707473,-0.20463308429444,4.10197002860993,0,1,1
vamb.spades.1056_12_2,1.04083405985181,-1.6101917112046,2.82003783811683,-0.363538282127874,0.716202821154237,1
vamb.spades.1056_12_3,0.583483265963811,0,4.02610813261889,0,1,1
vamb.spades.1056_12_4,0.6022808253126,-3.24943536772447,3.60329340624651,-0.73944446575056,0.459637149885112,1
vamb.spades.1056_12_5,0.660084788456936,-2.78245440177229,3.2315375382247,-0.68000274661191,0.496502721793064,1
vamb.spades.1056_12_6,0.17299501742233,0,4.56215292158991,0,1,1
vamb.spades.1056_12_7,0.246578920610055,0.0992808104000489,4.51944444660349,0,1,1
vamb.spades.1056_12_8,0.32016282379778,0.268782648907301,4.47312053967227,0,1,1
vamb.spades.1056_12_9,0.671513149045362,1.46950405882716,3.86427008522279,0.228892918797152,0.818952144460787,1
vamb.spades.1056_13_1,2.97002346704636,-0.970547102032024,1.46470911007137,-0.263224349040362,0.792377664538922,1
vamb.spades.1056_13_10,0.288325029037216,0,4.5621529215889,0,1,1
vamb.spades.1056_13_11,0.470119756632269,0,4.26243109362929,0,1,1
vamb.spades.1056_13_12,0.288325029037216,0,4.5621529215889,0,1,1
vamb.spades.1056_13_14,0.648482339289056,0.972142790764808,3.54484729740849,0.109212825908702,0.913033687557331,1
vamb.spades.1056_13_18,0.708828925168697,-2.6446689016333,3.74499682151825,-0.549978811677148,0.582333906471612,1
vamb.spades.1056_13_19,0.295943124458801,-1.20838649626714,4.54813140712831,-0.13706431069474,0.890979962114832,1
vamb.spades.1056_13_2,1.55112032950669,0.234118073020943,1.94261812191814,0,1,1
vamb.spades.1056_13_20,0.997405610857956,0.97895213915155,3.10346754960813,0.126939345378783,0.898988405405312,1
vamb.spades.1056_13_21,4.34851844501384,-0.0128229653507821,1.23719094144054,0,1,1
vamb.spades.1056_13_22,1.40862126045982,-0.79974392273572,2.27990131855245,-0.0941900076938701,0.924958222190827,1
vamb.spades.1056_13_23,2.00198121667674,-1.58764153765412,1.92310133044044,-0.521366982479538,0.602111147619764,1
vamb.spades.1056_13_24,1.26145345408437,-1.72020641758484,2.52162463410615,-0.45018850237686,0.652574525962585,1
vamb.spades.1056_13_3,2.78978957527804,-2.23683262871387,1.77147218171593,-0.932463205328929,0.351097193554551,1
vamb.spades.1056_13_5,0.304243926417498,0.0992817152370019,4.51944413459787,0,1,1
vamb.spades.1056_13_6,2.71255357065993,0.377626525787313,1.88164072308517,0,1,1
vamb.spades.1056_13_7,3.53973359471202,0.0673816428616414,1.56316298167844,0,1,1
vamb.spades.1056_13_8,0.68834954155905,0.103426426861506,3.0926271884297,0,1,1
vamb.spades.1056_13_9,3.04386662393176,-0.721006630721573,1.67354344593499,-0.0812686584575569,0.935228298448661,1
vamb.spades.1056_14_2,0.761213031509678,0.840696990114,2.63514324721497,0.0970334308710695,0.922699845710627,1
vamb.spades.1056_14_21,0.864847802927585,-0.780910546975889,3.05630992150188,-0.0641003536969897,0.9488903202176,1
vamb.spades.1056_14_22,2.59913850441537,0.897973878157547,1.53664422519612,0.203673610993204,0.83860856530011,1
vamb.spades.1056_14_23,0.244827298636953,0.963781790317883,4.53355433944213,0.0835507334769243,0.933413638891822,1
vamb.spades.1056_14_26,0.265709759201224,0.647948866696845,4.49009454342032,0.0140194969366712,0.988814426259052,1
vamb.spades.1056_14_3,15.7834825415033,1.59304376814559,0.83046216028898,1.21383467706081,0.224810861458437,1
vamb.spades.1056_14_33,0.233593259954014,0,4.56215292158934,0,1,1
vamb.spades.1056_14_34,0.440589006197857,-1.21079955581343,4.06085041870539,-0.154105542260513,0.877526518392748,1
vamb.spades.1056_14_36,0.788042976708763,-1.69993910917699,3.06006178014871,-0.364351829891098,0.715595301055072,1
vamb.spades.1056_14_37,1.34512370098659,0.428553338925887,2.2300637185679,0,1,1
vamb.spades.1056_14_39,1.75995167742135,0.968478583244643,1.92792123035071,0.198907806609341,0.842334862744288,1
vamb.spades.1056_14_4,0.957892234203989,-1.17340591393221,2.74440509587484,-0.214401990003827,0.83023358994856,1
vamb.spades.1056_14_40,0.561065078024128,0.286724579038618,3.46115033095331,0,1,1
vamb.spades.1056_14_41,0.664679941155984,1.46529683660915,3.81426064242823,0.230790949841523,0.817477212435457,1
vamb.spades.1056_14_42,0.590134626944499,-1.21374145146006,3.64392465817481,-0.172545129342765,0.863008985258384,1
vamb.spades.1056_14_43,0.341157983677201,2.59825229674635,4.28765926586872,0.469545775890484,0.638679572907116,1
vamb.spades.1056_14_46,1.9339456420786,1.24599580483821,2.11996920448475,0.311795003172635,0.755196321774024,1
vamb.spades.1056_14_47,0.714732174958979,0.102492110387642,3.29091762860385,0,1,1
vamb.spades.1056_14_48,2.70003805136353,-0.551769897872377,1.56012378788276,0,1,1
vamb.spades.1056_14_49,0.323374765008667,0.647956420022218,4.49009394761257,0.0140211810168678,0.988813082689523,1
vamb.spades.1056_14_50,1.01364062715428,0.155375436748117,2.45409328364567,0,1,1
vamb.spades.1056_14_55,0.288325029037216,0,4.5621529215889,0,1,1
vamb.spades.1056_14_56,0.17299501742233,0,4.56215292158991,0,1,1
vamb.spades.1056_14_57,2.05586677215441,-1.43933243724003,2.5003489726998,-0.341685279362245,0.732587751448701,1
vamb.spades.1056_14_58,1.01413084055634,0.591560837225748,2.88731208382547,0.00227229929958074,0.998186969031559,1
vamb.spades.1056_14_59,0.66615285864244,0.280922045430209,3.47820169324707,0,1,1
vamb.spades.1056_14_6,0.799287941857543,-3.87741056012233,3.40711531785339,-0.966333761252514,0.333877197477487,1
vamb.spades.1056_14_60,2.71620400707625,-1.76131991547641,2.19869770704853,-0.535007569119389,0.592644623310597,1
vamb.spades.1056_14_61,0.256061337319891,1.62812795033871,4.49928718737966,0.231842935757611,0.816660007546777,1
vamb.spades.1056_14_62,0.24002974062446,-1.70323177035215,4.53634871420127,-0.246504808338801,0.805291482745894,1
vamb.spades.1056_14_64,2.12735272575759,-0.151459050743599,1.95643771965643,0,1,1
vamb.spades.1056_14_65,1.50137890384162,1.48065009968642,2.16170580147997,0.414325621494482,0.678635652247905,1
vamb.spades.1056_14_67,0.530219090949928,0.966548948871339,4.11579390210648,0.0927036090597395,0.926139029746089,1
vamb.spades.1056_14_69,0.73073545492042,-1.69925633948918,3.1217071904513,-0.356938134011247,0.721138120729439,1
vamb.spades.1056_14_7,6.43677855651642,-3.91744395285378,1.42126691467525,-2.34469959051656,0.0190424154743535,1
vamb.spades.1056_14_70,1.29334873531676,0.105616513185526,2.74711817554603,0,1,1
vamb.spades.1056_14_73,0.625748020402221,-2.65203540568186,3.92668071713884,-0.526407812241988,0.5986048888882,1
vamb.spades.1056_14_8,2.50967994395423,-1.57417642758415,1.91552159875448,-0.516400560676184,0.605574674272826,1
vamb.spades.1056_14_9,2.18285691263854,-2.26920419902551,1.97698391800045,-0.851905867159981,0.394266340164734,1
vamb.spades.1056_15_1,0.409521514100585,0,4.47124212499545,0,1,1
vamb.spades.1056_15_12,0.415012705116033,-1.51495634411177,4.13279808644651,-0.225018576920454,0.821964822533968,1
vamb.spades.1056_15_14,0.947775165488253,-0.00675787342937775,2.86094967386453,0,1,1
vamb.spades.1056_15_15,0.496502390032198,0,3.87837420475224,0,1,1
vamb.spades.1056_15_16,0.665582851420476,1.66757174573103,3.4301090673946,0.315608549017164,0.752299647945504,1
vamb.spades.1056_15_17,1.23793425969644,-1.75729425045735,2.92336551519926,-0.40100844193527,0.68841390858477,1
vamb.spades.1056_15_18,0.51242128741248,0.101282251634464,3.62122602050687,0,1,1
vamb.spades.1056_15_2,0.246578920610055,0.0992808104000489,4.51944444660349,0,1,1
vamb.spades.1056_15_20,4.50354690380382,-0.853357023867407,1.37520642733485,-0.195139448546268,0.845283780684917,1
vamb.spades.1056_15_23,1.30403368935123,-1.42925235254323,2.40526957002787,-0.351001136447858,0.725587495815652,1
vamb.spades.1056_15_24,19.2812838692634,-0.219295150471472,0.751860091327122,0,1,1
vamb.spades.1056_15_27,0.478956072657965,3.18163993580776,3.72905511838365,0.696326509899715,0.486224374876321,1
vamb.spades.1056_15_29,2.69356318393089,-0.249417385548326,1.48270932634757,0,1,1
vamb.spades.1056_15_3,2.35648098184395,1.46246567694437,1.74654644541515,0.502400425278009,0.615385879955782,1
vamb.spades.1056_15_31,1.89445904565878,1.41717023952841,1.84262797348367,0.45162140784996,0.651541745005481,1
vamb.spades.1056_15_32,1.19958389080326,1.27297803894737,2.77701694073493,0.247739950324284,0.804335619300842,1
vamb.spades.1056_15_33,0.821608868727917,2.90748903376412,3.16873024068187,0.732939965651462,0.463595046043655,1
vamb.spades.1056_15_34,7.76023108373358,0.301985175705586,0.982708203109324,0,1,1
vamb.spades.1056_15_35,0.412079468391792,-1.52543248470648,4.51422301403928,-0.208326545184348,0.834974006249991,1
vamb.spades.1056_15_37,0.459421232016329,2.59773043470007,3.54981142635102,0.566996438109116,0.570716601589413,1
vamb.spades.1056_15_38,0.184229056105268,0.963781385196071,4.53355455201407,0.0835506401986042,0.933413713057835,1
vamb.spades.1056_15_4,0.895037693209986,0.772663366119168,2.63038216539033,0.0713445249851442,0.943123559675563,1
vamb.spades.1056_15_40,0.182364734817016,-1.70323492788352,4.5363487744131,-0.246505501118176,0.805290946529479,1
vamb.spades.1056_15_41,0.492212551565112,0.481643425666834,3.84538300763489,0,1,1
vamb.spades.1056_15_42,1.28542149677131,-1.85942541943888,2.23480488537844,-0.570262499324667,0.568499671607209,1
vamb.spades.1056_15_43,8.40537857277424,0.589666987503236,1.1175427742763,0.00417611532252857,0.996667951745145,1
vamb.spades.1056_15_44,1.20836901610706,2.04849417949169,2.37075383687943,0.617311741407137,0.53702912377921,1
vamb.spades.1056_15_45,10.192519248683,1.36901900310549,0.859795676651437,0.91186664971256,0.361838919563881,1
vamb.spades.1056_15_5,8.8207662517256,-0.0852318253741838,1.04417286338201,0,1,1
vamb.spades.1056_15_7,0.651521403380354,-2.63737935688512,3.57032025213646,-0.574844611112123,0.565396392734667,1
vamb.spades.1056_15_8,0.960467986909129,-1.17251429639887,2.73931208129402,-0.214475123302247,0.830176564337622,1
vamb.spades.1056_15_9,0.265709759201224,0.647948866696845,4.49009454342032,0.0140194969366712,0.988814426259052,1
vamb.spades.1056_16_1,0.845165769815833,0.0848313813896786,2.81929544907731,0,1,1
vamb.spades.1056_16_100,0.712980552985877,0.972489372888317,3.51720668992655,0.110169633760252,0.912274844397175,1
vamb.spades.1056_16_102,0.610625683706974,-2.86267714002141,3.89848621737581,-0.584246554436862,0.559054444177832,1
vamb.spades.1056_16_105,0.899993370158436,-3.12068122568864,2.97055972933342,-0.853603851371683,0.393324523852214,1
vamb.spades.1056_16_106,0.856123893946451,-1.21917275174225,3.18366019133773,-0.199196118187405,0.842109335816439,1
vamb.spades.1056_16_107,0.357347699308589,-1.52186202507374,4.37260039892341,-0.214257407400961,0.830346330708921,1
vamb.spades.1056_16_11,5.38378836921772,-0.106705928483043,1.14587932075106,0,1,1
vamb.spades.1056_16_112,1.63071119997964,1.43817935798031,1.90487481181748,0.44789261356565,0.654230699445634,1
vamb.spades.1056_16_113,1.1330794867652,0.293945117265409,2.39893111953667,0,1,1
vamb.spades.1056_16_114,2.07017940731839,0.241236699039102,1.61424681727816,0,1,1
vamb.spades.1056_16_115,2.27918536076257,0.29933967180286,1.6432521466093,0,1,1
vamb.spades.1056_16_116,2.0559123080235,0.824681878032996,1.93545193900944,0.12383768007986,0.901443797039629,1
vamb.spades.1056_16_117,1.12493639559668,1.70176715110346,2.95691533016961,0.377679786671269,0.705668485449429,1
vamb.spades.1056_16_12,3.03438712849635,0.0366902199606519,1.45099742918541,0,1,1
vamb.spades.1056_16_120,0.425903722867025,-2.92260229311286,4.38196968079848,-0.533459257684069,0.593715706910822,1
vamb.spades.1056_16_122,0.611963913663616,2.57921382697618,3.54750101041346,0.562146091325216,0.57401648727556,1
vamb.spades.1056_16_124,0.897199090771088,-2.68024401522134,3.14920018410428,-0.665325762965837,0.505842155893246,1
vamb.spades.1056_16_127,0.233593259954014,0,4.56215292158934,0,1,1
vamb.spades.1056_16_128,0.29300988773456,-1.20838638472397,4.54813140374902,-0.137064286271526,0.890979981419548,1
vamb.spades.1056_16_13,0.382924000390414,-1.20961661377512,4.27818854386434,-0.146000253932455,0.88392118796638,1
