Heptanoic Acid_18	Heptanoic Acid	Ab	0	0	0	0	0	0	0	0
Hexanoic Acid_01	Hexanoic Acid	control	0	0	0	0	0	0	0	0
Hexanoic Acid_02	Hexanoic Acid	control	0	0	0	0	0	0	0	0
Hexanoic Acid_03	Hexanoic Acid	control	0	0	0	0	0	0	0	0
Hexanoic Acid_04	Hexanoic Acid	AA	0	0	0	0	0	0	0	0
Hexanoic Acid_05	Hexanoic Acid	AA	0	0	0	0	0	0	0	0
Hexanoic Acid_06	Hexanoic Acid	AA	0	0	0	0	0	0	0	0
Hexanoic Acid_07	Hexanoic Acid	AABES	0	0	0	0	0	0	0	0
Hexanoic Acid_08	Hexanoic Acid	AABES	0	0	0	0	0	0	0	0
Hexanoic Acid_09	Hexanoic Acid	AABES	0	0	0	0	0	0	0	0
Hexanoic Acid_10	Hexanoic Acid	BES	0	0	0	0	0	0	0	0
Hexanoic Acid_11	Hexanoic Acid	BES	0	0	0	0	0	0	0	0
Hexanoic Acid_12	Hexanoic Acid	BES	0	0	0	0	0	0	0	0
Hexanoic Acid_13	Hexanoic Acid	AAAb	18.30880992	0	0	0	0	0	0	0
Hexanoic Acid_14	Hexanoic Acid	AAAb	16.78292764	0	0	0	0	0	0	0
Hexanoic Acid_15	Hexanoic Acid	AAAb	0	17.74385816	0	0	0	0	0	0
Hexanoic Acid_16	Hexanoic Acid	Ab	0	0	0	0	0	0	0	0
Hexanoic Acid_17	Hexanoic Acid	Ab	0	0	0	0	0	0	0	0
Hexanoic Acid_18	Hexanoic Acid	Ab	0	0	0	0	0	0	0	0
Isobutyric Acid_01	Isobutyric Acid	control	0	0	0	0	0	0	0	0
Isobutyric Acid_02	Isobutyric Acid	control	0	0	0	0	0	0	0	0
Isobutyric Acid_03	Isobutyric Acid	control	0	13.50374191	0	0	0	0	0	0
Isobutyric Acid_04	Isobutyric Acid	AA	0	0	0	0	13.83011315	0	0	0
Isobutyric Acid_05	Isobutyric Acid	AA	0	0	0	0	15.7210152	14.89693084	0	0
Isobutyric Acid_06	Isobutyric Acid	AA	0	0	0	0	13.61154947	13.84691552	0	0
Isobutyric Acid_07	Isobutyric Acid	AABES	0	0	0	0	0	0	0	0
Isobutyric Acid_08	Isobutyric Acid	AABES	0	0	13.05112097	0	0	13.39500384	13.6477718	14.19898513
Isobutyric Acid_09	Isobutyric Acid	AABES	0	15.52793145	15.85621801	15.33166205	16.3089853	16.32124777	18.70146043	17.40982829
Isobutyric Acid_10	Isobutyric Acid	BES	0	12.93936623	13.09391091	13.59415039	13.30875999	13.57217178	13.66757369	13.97716653
Isobutyric Acid_11	Isobutyric Acid	BES	0	13.01002626	13.16054134	13.05559978	0	0	13.60863086	13.86395065
Isobutyric Acid_12	Isobutyric Acid	BES	0	13.41686174	13.35384086	13.37817533	13.67231505	0	14.22558455	14.5435203
Isobutyric Acid_13	Isobutyric Acid	AAAb	0	16.4876938	14.62054982	0	0	0	0	0
Isobutyric Acid_14	Isobutyric Acid	AAAb	0	16.19221748	14.41916378	0	0	0	0	0
Isobutyric Acid_15	Isobutyric Acid	AAAb	0	0	15.10528123	0	0	0	0	0
Isobutyric Acid_16	Isobutyric Acid	Ab	0	0	0	0	0	0	0	0
Isobutyric Acid_17	Isobutyric Acid	Ab	0	0	0	0	0	0	0	0
Isobutyric Acid_18	Isobutyric Acid	Ab	0	0	0	0	0	0	0	0
Isocaproic Acid_01	Isocaproic Acid	control	4.489679864	0.1098010053	-36.62653544	-17.88148071	-14.48211342	-0.7200653204	5.321111139	-14.28427458
Isocaproic Acid_02	Isocaproic Acid	control	-12.77917968	17.9295322	7.307748544	-42.36699177	-9.856881594	-26.68703206	7.883235156	-2.952522354
Isocaproic Acid_03	Isocaproic Acid	control	24.62184079	0.8705832951	-39.54051856	-15.41769398	-11.05716487	14.29344745	-0.4488482583	-1.690230312
Isocaproic Acid_04	Isocaproic Acid	AA	7.024530393	-6.330343304	-3.866829961	-1.319440981	-11.52842207	-26.48677509	-4.458578849	-9.393444424
Isocaproic Acid_05	Isocaproic Acid	AA	7.116164786	-53.62237022	-0.9687414532	0.8381624436	7.99692968	3.894537109	-0.8189870985	1.027945567
Isocaproic Acid_06	Isocaproic Acid	AA	-19.76247931	-4.630977835	-69.86530638	-6.343108013	-34.54366307	63.24726455	-8.848271638	19.47822886
Isocaproic Acid_07	Isocaproic Acid	AABES	7.329968941	4.108746643	-8.786809661	-12.30515082	-19.04934314	-29.66718143	7.662247316	1.636248982
Isocaproic Acid_08	Isocaproic Acid	AABES	4.87157468	-9.930684047	-0.5501363154	-17.60826033	-7.424832221	-3.301939754	-5.794074704	7.025557981
Isocaproic Acid_09	Isocaproic Acid	AABES	-9.987960256	0.3277720746	1.95888312	-15.40722013	-2.652579984	-12.16549793	17.59302092	-4.32574669
Isocaproic Acid_10	Isocaproic Acid	BES	0.3842516679	-3.87370254	-4.878051309	7.586479249	-5.308233302	0.577296674	-0.7964933062	1.78031861
