cpd00023	L-Glutamate
cpd00033	Glycine
cpd00035	L-Alanine
cpd00039	L-Lysine
cpd00041	L-Aspartate
cpd00051	L-Arginine
cpd00053	L-Glutamine
cpd00054	L-Serine
cpd00060	L-Methionine
cpd00065	L-Tryptophan
cpd00066	L-Phenylalanine
cpd00069	L-Tyrosine
cpd00084	L-Cysteine
cpd00107	L-Leucine
cpd00119	L-Histidine
cpd00129	L-Proline
cpd00132	L-Asparagine
cpd00156	L-Valine
cpd00161	L-Threonine
cpd00322	L-Isoleucine
cpd00320	D-Aspartate
cpd01106	D-Leucine
cpd00381	L-Cystine
cpd03840	D-Valine
