concoct_megahit_6_4_3	K03642
concoct_megahit_6_15_12	K01775
concoct_megahit_6_26_2	K07258
concoct_megahit_6_27_5	K01921
concoct_megahit_6_34_12	K01776
concoct_megahit_6_51_11	K01921
concoct_megahit_6_59_2	K05363
concoct_megahit_6_59_2	K11693
concoct_megahit_6_97_4	K01448
concoct_megahit_6_98_1	K05515
concoct_megahit_6_98_2	K07082
concoct_megahit_6_117_6	K05515
concoct_megahit_6_143_1	K02563
concoct_megahit_6_143_2	K01924
concoct_megahit_6_143_3	K00790
concoct_megahit_6_145_2	K06381
concoct_megahit_6_145_3	K00790
concoct_megahit_6_148_7	K21471
concoct_megahit_6_150_13	K08309
concoct_megahit_6_152_2	K01448
concoct_megahit_6_172_1	K05366
concoct_megahit_6_183_4	K00075
concoct_megahit_6_192_8	K06381
concoct_megahit_6_201_4	K19302
concoct_megahit_6_219_11	K07258
concoct_megahit_6_237_8	K07284
concoct_megahit_6_238_10	K03587
concoct_megahit_6_238_10	K08384
concoct_megahit_6_238_11	K01928
concoct_megahit_6_238_13	K01000
concoct_megahit_6_238_14	K01925
concoct_megahit_6_238_16	K02563
concoct_megahit_6_247_6	K06381
concoct_megahit_6_263_7	K05364
concoct_megahit_6_266_14	K07258
concoct_megahit_6_272_13	K01775
concoct_megahit_6_273_6	K01448
concoct_megahit_6_273_8	K01448
concoct_megahit_6_282_2	K08641
concoct_spades_11_6_2	K01448
concoct_spades_11_28_12	K01775
concoct_spades_11_32_8	K01448
concoct_spades_11_37_3	K01921
concoct_spades_11_40_2	K06153
concoct_spades_11_57_6	K00790
concoct_spades_11_70_7	K07258
concoct_spades_11_83_1	K05366
concoct_spades_11_85_6	K00075
concoct_spades_11_93_8	K03980
concoct_spades_11_108_5	K00790
concoct_spades_11_122_3	K05364
concoct_spades_11_123_3	K01776
concoct_spades_11_127_6	K06381
concoct_spades_11_134_2	K01448
concoct_spades_11_162_2	K21471
concoct_spades_11_163_1	K05515
concoct_spades_11_174_4	K03980
concoct_spades_11_194_1	K07258
concoct_spades_11_203_2	K21471
concoct_spades_11_219_2	K01928
concoct_spades_11_219_3	K03587
concoct_spades_11_219_3	K08384
concoct_spades_11_249_1	K07082
concoct_spades_11_264_1	K05515
concoct_spades_11_281_2	K01000
concoct_spades_11_281_3	K01925
concoct_spades_11_286_2	K00790
concoct_spades_11_286_3	K02563
concoct_spades_11_291_1	K05366
concoct_spades_11_301_2	K08309
concoct_spades_11_391_2	K03980
concoct_spades_11_405_3	K19302
concoct_spades_11_457_1	K02563
concoct_spades_11_457_3	K01925
concoct_spades_11_463_3	K01928
concoct_spades_11_499_2	K06381
concoct_spades_11_500_1	K05515
maxbin2.megahit.017_9_16	K05363
maxbin2.megahit.017_9_16	K11693
maxbin2.megahit.017_9_33	K01776
maxbin2.megahit.017_13_3	K03980
maxbin2.megahit.017_23_11	K03642
maxbin2.megahit.017_30_6	K08309
maxbin2.megahit.017_30_62	K05515
maxbin2.megahit.017_30_97	K07258
maxbin2.megahit.017_48_18	K01921
maxbin2.megahit.017_61_10	K00790
maxbin2.megahit.017_61_11	K06381
maxbin2.megahit.017_66_29	K00790
maxbin2.megahit.017_66_30	K01924
maxbin2.megahit.017_66_31	K02563
maxbin2.megahit.017_66_33	K01925
maxbin2.megahit.017_66_34	K01000
maxbin2.megahit.017_66_36	K01928
maxbin2.megahit.017_66_37	K03587
maxbin2.megahit.017_66_37	K08384
maxbin2.megahit.017_71_10	K19302
maxbin2.megahit.017_73_71	K06153
maxbin2.megahit.017_102_10	K00075
maxbin2.megahit.017_102_22	K05366
maxbin2.megahit.017_102_41	K21471
maxbin2.megahit.017_105_7	K21471
maxbin2.megahit.017_113_27	K07258
maxbin2.megahit.017_116_9	K01775
maxbin2.megahit.017_122_12	K06381
maxbin2.megahit.017_128_47	K01775
maxbin2.megahit.017_131_13	K05364
maxbin2.megahit.017_137_50	K01448
maxbin2.megahit.017_137_52	K01448
maxbin2.megahit.017_151_6	K01921
maxbin2.megahit.017_157_8	K01448
maxbin2.megahit.017_157_13	K01448
maxbin2.megahit.017_157_14	K01448
maxbin2.megahit.017_157_27	K19302
maxbin2.megahit.017_159_13	K07258
maxbin2.megahit.017_159_57	K05515
maxbin2.megahit.017_159_58	K07082
maxbin2.megahit.017_159_91	K06381
maxbin2.spades.001_1_333	K01925
maxbin2.spades.001_1_334	K01925
maxbin2.spades.001_1_532	K01924
maxbin2.spades.001_1_532	K01928
maxbin2.spades.001_1_533	K01000
maxbin2.spades.001_1_591	K19302
maxbin2.spades.001_1_1192	K06153
maxbin2.spades.001_1_1406	K02563
maxbin2.spades.001_1_1574	K07284
maxbin2.spades.006_1_115	K01448
maxbin2.spades.006_1_148	K06153
maxbin2.spades.006_1_162	K07258
maxbin2.spades.006_1_256	K05364
maxbin2.spades.006_1_319	K00790
maxbin2.spades.006_1_320	K00075
maxbin2.spades.006_1_321	K01924
maxbin2.spades.006_1_322	K02563
maxbin2.spades.006_1_324	K01925
maxbin2.spades.006_1_325	K01000
maxbin2.spades.006_1_327	K01928
maxbin2.spades.006_1_328	K03587
maxbin2.spades.006_1_328	K08384
maxbin2.spades.006_1_365	K07082
maxbin2.spades.006_1_469	K01921
maxbin2.spades.006_2_63	K03980
maxbin2.spades.006_2_116	K21471
maxbin2.spades.006_2_316	K01448
maxbin2.spades.006_3_2	K05366
maxbin2.spades.006_3_2	K12555
maxbin2.spades.006_3_74	K08309
maxbin2.spades.006_3_125	K01448
maxbin2.spades.006_3_132	K01776
maxbin2.spades.006_3_178	K01921
maxbin2.spades.006_3_221	K01775
maxbin2.spades.006_5_93	K07258
maxbin2.spades.006_5_93	K07262
maxbin2.spades.006_6_12	K06381
maxbin2.spades.006_6_14	K00790
maxbin2.spades.006_6_57	K01775
