	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.spades.18_10_67	2.0	1.0	2.0	51.0	9.0	8.0	24.0	39.0	8.0
metabat2.spades.18_10_68	0.0	0.0	0.0	8.0	1.0	0.0	1.0	3.0	0.0
metabat2.spades.18_10_69	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	0.0
metabat2.spades.18_10_7	4.0	1.0	1.0	10.0	3.0	4.0	12.0	8.0	2.0
metabat2.spades.18_10_70	1.0	0.0	0.0	38.0	2.0	2.0	20.0	19.0	2.0
metabat2.spades.18_10_71	2.0	2.0	3.0	23.0	3.0	0.0	12.0	30.0	3.0
metabat2.spades.18_10_8	0.0	0.0	1.0	2.0	0.0	0.0	5.0	3.0	1.0
metabat2.spades.18_10_9	12.0	9.0	13.0	41.0	18.0	16.0	89.0	45.0	28.0
metabat2.spades.18_11_1	108.0	64.0	147.0	340.0	290.0	155.0	1049.0	529.0	408.0
metabat2.spades.18_11_10	229.0	220.0	119.0	334.0	322.0	373.0	2039.0	852.0	641.0
metabat2.spades.18_11_11	754.0	575.0	356.0	1069.0	861.0	662.0	5024.0	2429.0	1646.0
metabat2.spades.18_11_12	18.0	41.0	50.0	114.0	100.0	58.0	401.0	189.0	133.0
metabat2.spades.18_11_13	59.0	64.0	73.0	142.0	218.0	81.0	480.0	363.0	178.0
metabat2.spades.18_11_14	52.0	110.0	109.0	277.0	220.0	100.0	830.0	547.0	275.0
metabat2.spades.18_11_15	7.0	16.0	13.0	24.0	44.0	21.0	169.0	52.0	62.0
metabat2.spades.18_11_16	31.0	32.0	35.0	79.0	123.0	36.0	423.0	95.0	156.0
metabat2.spades.18_11_17	13.0	5.0	7.0	41.0	20.0	15.0	100.0	56.0	30.0
metabat2.spades.18_11_18	25.0	15.0	26.0	108.0	30.0	36.0	157.0	195.0	28.0
metabat2.spades.18_11_19	1.0	4.0	0.0	8.0	3.0	0.0	8.0	11.0	4.0
metabat2.spades.18_11_2	0.0	1.0	0.0	1.0	0.0	1.0	7.0	9.0	0.0
metabat2.spades.18_11_20	0.0	5.0	6.0	22.0	2.0	3.0	38.0	24.0	5.0
metabat2.spades.18_11_21	4.0	1.0	2.0	17.0	4.0	2.0	11.0	22.0	10.0
metabat2.spades.18_11_22	199.0	257.0	655.0	1025.0	1056.0	428.0	2313.0	2651.0	709.0
metabat2.spades.18_11_23	13.0	7.0	59.0	249.0	85.0	84.0	176.0	306.0	63.0
metabat2.spades.18_11_24	492.0	221.0	742.0	4416.0	925.0	514.0	2790.0	3145.0	735.0
metabat2.spades.18_11_25	11.0	2.0	21.0	250.0	35.0	14.0	80.0	134.0	19.0
metabat2.spades.18_11_26	13.0	5.0	38.0	349.0	66.0	45.0	148.0	249.0	23.0
metabat2.spades.18_11_27	36.0	15.0	92.0	1304.0	182.0	126.0	480.0	654.0	78.0
metabat2.spades.18_11_28	33.0	26.0	60.0	1151.0	137.0	78.0	364.0	586.0	49.0
metabat2.spades.18_11_29	55.0	41.0	94.0	2374.0	239.0	123.0	559.0	842.0	91.0
metabat2.spades.18_11_3	22.0	17.0	23.0	34.0	42.0	14.0	145.0	67.0	28.0
metabat2.spades.18_11_30	12.0	7.0	21.0	275.0	15.0	33.0	93.0	131.0	11.0
metabat2.spades.18_11_31	13.0	1.0	6.0	93.0	11.0	9.0	54.0	65.0	10.0
metabat2.spades.18_11_32	124.0	35.0	132.0	3172.0	353.0	156.0	1233.0	1586.0	182.0
metabat2.spades.18_11_33	179.0	54.0	45.0	2867.0	82.0	30.0	605.0	668.0	73.0
metabat2.spades.18_11_34	7.0	4.0	18.0	206.0	79.0	40.0	191.0	135.0	27.0
metabat2.spades.18_11_35	17.0	5.0	110.0	610.0	143.0	132.0	442.0	536.0	56.0
metabat2.spades.18_11_36	3.0	3.0	22.0	184.0	59.0	43.0	136.0	125.0	10.0
metabat2.spades.18_11_37	32.0	9.0	57.0	2281.0	127.0	161.0	677.0	1230.0	19.0
metabat2.spades.18_11_38	377.0	113.0	366.0	3687.0	467.0	286.0	1556.0	2025.0	372.0
metabat2.spades.18_11_39	12.0	1.0	0.0	389.0	2.0	4.0	50.0	119.0	3.0
metabat2.spades.18_11_4	3.0	7.0	5.0	6.0	19.0	8.0	59.0	9.0	13.0
metabat2.spades.18_11_40	24.0	1.0	7.0	754.0	5.0	3.0	78.0	189.0	0.0
metabat2.spades.18_11_41	6.0	1.0	1.0	423.0	3.0	1.0	52.0	78.0	1.0
metabat2.spades.18_11_42	1.0	0.0	0.0	59.0	0.0	0.0	6.0	11.0	0.0
metabat2.spades.18_11_43	19.0	1.0	3.0	1154.0	4.0	4.0	87.0	194.0	3.0
metabat2.spades.18_11_44	1.0	0.0	0.0	139.0	0.0	0.0	13.0	9.0	0.0
metabat2.spades.18_11_45	3.0	0.0	0.0	95.0	0.0	0.0	12.0	18.0	0.0
metabat2.spades.18_11_46	20.0	0.0	2.0	734.0	3.0	2.0	32.0	109.0	0.0
metabat2.spades.18_11_47	10.0	0.0	0.0	218.0	1.0	0.0	17.0	26.0	0.0
metabat2.spades.18_11_48	5.0	0.0	0.0	113.0	0.0	0.0	7.0	18.0	0.0
metabat2.spades.18_11_49	5.0	0.0	1.0	122.0	0.0	0.0	5.0	15.0	1.0
metabat2.spades.18_11_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat2.spades.18_11_50	4.0	0.0	0.0	84.0	1.0	0.0	11.0	13.0	0.0
metabat2.spades.18_11_51	3.0	0.0	0.0	78.0	0.0	0.0	8.0	6.0	0.0
metabat2.spades.18_11_52	24.0	0.0	2.0	564.0	3.0	5.0	42.0	75.0	3.0
metabat2.spades.18_11_53	21.0	2.0	12.0	544.0	8.0	2.0	34.0	74.0	8.0
metabat2.spades.18_11_54	12.0	1.0	1.0	289.0	5.0	4.0	33.0	40.0	3.0
metabat2.spades.18_11_55	6.0	0.0	1.0	87.0	1.0	1.0	14.0	18.0	2.0
metabat2.spades.18_11_56	6.0	2.0	8.0	117.0	2.0	3.0	36.0	11.0	3.0
metabat2.spades.18_11_57	2.0	0.0	1.0	73.0	4.0	1.0	18.0	19.0	1.0
metabat2.spades.18_11_58	0.0	0.0	0.0	39.0	0.0	1.0	14.0	5.0	6.0
metabat2.spades.18_11_59	62.0	14.0	41.0	871.0	71.0	19.0	212.0	176.0	36.0
metabat2.spades.18_11_6	0.0	1.0	0.0	0.0	0.0	0.0	1.0	10.0	0.0
